scale_id,n_iter,n_step_size,n_sampling,n_samples_anova,n_early_stopping
europe,200,NA,50,1000,NA
america,200,NA,50,1000,NA
asia,200,NA,50,1000,NA
eu_r001,500,NA,200,1000,NA
eu_r002,500,NA,200,1000,NA
eu_r003,500,NA,200,1000,NA
eu_r004,500,NA,200,1000,NA
eu_r005,500,NA,200,1000,NA
eu_r006,500,NA,200,1000,NA
eu_r007,500,NA,200,1000,NA
eu_r008,500,NA,200,1000,NA
eu_r009,500,NA,200,1000,NA
am_r001,500,NA,200,1000,NA
am_r002,500,NA,200,1000,NA
am_r003,500,NA,200,1000,NA
am_r004,500,NA,200,1000,NA
am_r005,500,NA,200,1000,NA
am_r006,500,NA,200,1000,NA
am_r007,500,NA,200,1000,NA
am_r008,500,NA,200,1000,NA
am_r009,500,NA,200,1000,NA
am_r010,500,NA,200,1000,NA
am_r011,500,NA,200,1000,NA
am_r012,500,NA,200,1000,NA
as_r001,500,NA,200,1000,NA
as_r002,500,NA,200,1000,NA
as_r003,500,NA,200,1000,NA
as_r004,500,NA,200,1000,NA
as_r005,500,NA,200,1000,NA
as_r006,500,NA,200,1000,NA
as_r007,500,NA,200,1000,NA
as_r008,500,NA,200,1000,NA
eu_r001_l001,500,NA,200,1000,NA
eu_r001_l002,500,NA,200,1000,NA
eu_r002_l001,500,NA,200,1000,NA
eu_r002_l002,500,NA,200,1000,NA
eu_r002_l003,500,NA,200,1000,NA
eu_r002_l004,500,NA,200,1000,NA
eu_r002_l005,500,NA,200,1000,NA
eu_r002_l006,500,NA,200,1000,NA
eu_r002_l007,500,NA,200,1000,NA
eu_r002_l008,500,NA,200,1000,NA
eu_r003_l001,500,NA,200,1000,NA
eu_r003_l002,500,NA,200,1000,NA
eu_r003_l003,500,NA,200,1000,NA
eu_r003_l004,500,NA,200,1000,NA
eu_r004_l001,500,NA,200,1000,NA
eu_r004_l002,500,NA,200,1000,NA
eu_r004_l003,500,NA,200,1000,NA
eu_r004_l004,500,NA,200,1000,NA
eu_r005_l001,500,NA,200,1000,NA
eu_r005_l002,500,NA,200,1000,NA
eu_r005_l003,500,NA,200,1000,NA
eu_r005_l004,500,NA,200,1000,NA
eu_r005_l005,500,NA,200,1000,NA
eu_r005_l006,500,NA,200,1000,NA
eu_r005_l007,500,NA,200,1000,NA
eu_r005_l008,500,NA,200,1000,NA
eu_r005_l009,500,NA,200,1000,NA
eu_r005_l010,500,NA,200,1000,NA
eu_r005_l011,500,NA,200,1000,NA
eu_r005_l012,500,NA,200,1000,NA
eu_r005_l013,500,NA,200,1000,NA
eu_r005_l014,500,NA,200,1000,NA
eu_r005_l015,500,NA,200,1000,NA
eu_r005_l016,500,NA,200,1000,NA
eu_r006_l001,500,NA,200,1000,NA
eu_r006_l002,500,NA,200,1000,NA
eu_r006_l003,500,NA,200,1000,NA
eu_r006_l004,500,NA,200,1000,NA
eu_r006_l005,500,NA,200,1000,NA
eu_r006_l006,500,NA,200,1000,NA
eu_r006_l007,500,NA,200,1000,NA
eu_r006_l008,500,NA,200,1000,NA
eu_r007_l001,500,NA,200,1000,NA
eu_r007_l002,500,NA,200,1000,NA
eu_r007_l003,500,NA,200,1000,NA
eu_r007_l004,500,NA,200,1000,NA
eu_r008_l001,500,NA,200,1000,NA
eu_r008_l002,500,NA,200,1000,NA
eu_r008_l003,500,NA,200,1000,NA
eu_r008_l004,500,NA,200,1000,NA
eu_r008_l005,500,NA,200,1000,NA
eu_r008_l006,500,NA,200,1000,NA
eu_r008_l007,500,NA,200,1000,NA
eu_r008_l008,500,NA,200,1000,NA
eu_r008_l009,500,NA,200,1000,NA
eu_r008_l010,500,NA,200,1000,NA
eu_r008_l011,500,NA,200,1000,NA
eu_r008_l012,500,NA,200,1000,NA
eu_r008_l013,500,NA,200,1000,NA
eu_r008_l014,500,NA,200,1000,NA
eu_r008_l015,500,NA,200,1000,NA
eu_r008_l016,500,NA,200,1000,NA
eu_r009_l001,500,NA,200,1000,NA
eu_r009_l002,500,NA,200,1000,NA
eu_r009_l003,500,NA,200,1000,NA
eu_r009_l004,500,NA,200,1000,NA
eu_r009_l005,500,NA,200,1000,NA
eu_r009_l006,500,NA,200,1000,NA
eu_r009_l007,500,NA,200,1000,NA
eu_r009_l008,500,NA,200,1000,NA
am_r001_l001,500,NA,200,1000,NA
am_r001_l002,500,NA,200,1000,NA
am_r001_l003,500,NA,200,1000,NA
am_r001_l004,500,NA,200,1000,NA
am_r002_l001,500,NA,200,1000,NA
am_r002_l002,500,NA,200,1000,NA
am_r002_l003,500,NA,200,1000,NA
am_r002_l004,500,NA,200,1000,NA
am_r002_l005,500,NA,200,1000,NA
am_r002_l006,500,NA,200,1000,NA
am_r002_l007,500,NA,200,1000,NA
am_r002_l008,500,NA,200,1000,NA
am_r003_l001,500,NA,200,1000,NA
am_r003_l002,500,NA,200,1000,NA
am_r003_l003,500,NA,200,1000,NA
am_r003_l004,500,NA,200,1000,NA
am_r004_l001,500,NA,200,1000,NA
am_r004_l002,500,NA,200,1000,NA
am_r004_l003,500,NA,200,1000,NA
am_r004_l004,500,NA,200,1000,NA
am_r004_l005,500,NA,200,1000,NA
am_r004_l006,500,NA,200,1000,NA
am_r004_l007,500,NA,200,1000,NA
am_r004_l008,500,NA,200,1000,NA
am_r005_l001,500,NA,200,1000,NA
am_r005_l002,500,NA,200,1000,NA
am_r005_l003,500,NA,200,1000,NA
am_r005_l004,500,NA,200,1000,NA
am_r005_l005,500,NA,200,1000,NA
am_r005_l006,500,NA,200,1000,NA
am_r005_l007,500,NA,200,1000,NA
am_r005_l008,500,NA,200,1000,NA
am_r005_l009,500,NA,200,1000,NA
am_r005_l010,500,NA,200,1000,NA
am_r005_l011,500,NA,200,1000,NA
am_r005_l012,500,NA,200,1000,NA
am_r005_l013,500,NA,200,1000,NA
am_r005_l014,500,NA,200,1000,NA
am_r005_l015,500,NA,200,1000,NA
am_r005_l016,500,NA,200,1000,NA
am_r006_l001,500,NA,200,1000,NA
am_r006_l002,500,NA,200,1000,NA
am_r006_l003,500,NA,200,1000,NA
am_r006_l004,500,NA,200,1000,NA
am_r006_l005,500,NA,200,1000,NA
am_r006_l006,500,NA,200,1000,NA
am_r006_l007,500,NA,200,1000,NA
am_r006_l008,500,NA,200,1000,NA
am_r007_l001,500,NA,200,1000,NA
am_r007_l002,500,NA,200,1000,NA
am_r007_l003,500,NA,200,1000,NA
am_r007_l004,500,NA,200,1000,NA
am_r007_l005,500,NA,200,1000,NA
am_r007_l006,500,NA,200,1000,NA
am_r007_l007,500,NA,200,1000,NA
am_r007_l008,500,NA,200,1000,NA
am_r008_l001,500,NA,200,1000,NA
