scale_id,n_iter,n_step_size,n_sampling,n_samples_anova,n_early_stopping
europe,600,NA,200,500,NA
america,1600,NA,100,500,0
asia,8000,NA,1000,500,0
eu_r001,6400,NA,1000,500,0
eu_r002,1600,NA,250,500,NA
eu_r003,1600,NA,250,500,NA
eu_r004,36000,NA,5400,500,0
eu_r005,3200,NA,250,500,NA
eu_r006,3200,NA,500,500,0
eu_r007,6400,NA,4000,500,0
eu_r008,3200,NA,250,500,NA
eu_r009,1600,NA,250,500,NA
am_r001,1600,NA,250,500,NA
am_r002,3200,NA,250,500,NA
am_r003,4800,NA,1300,500,0
am_r004,1600,NA,250,500,NA
am_r005,3200,NA,250,500,NA
am_r006,4500,50,8000,500,0
am_r007,6400,NA,250,500,0
am_r008,3200,NA,250,500,NA
am_r009,1600,NA,250,500,NA
am_r010,3200,NA,250,500,NA
am_r011,2400,NA,800,500,0
am_r012,1600,NA,250,500,NA
as_r001,1600,NA,250,500,NA
as_r002,1600,NA,250,500,NA
as_r003,1600,NA,250,500,NA
as_r004,1600,NA,250,500,NA
as_r005,1600,NA,250,500,NA
as_r006,1600,NA,250,500,NA
as_r007,1600,NA,250,500,NA
as_r008,6400,NA,2000,500,0
eu_r001_l001,3200,NA,200,500,NA
eu_r001_l002,9600,NA,300,500,NA
eu_r002_l001,25000,NA,400,500,0
eu_r002_l002,3200,NA,200,500,NA
eu_r002_l003,7800,NA,500,500,NA
eu_r002_l004,6400,NA,200,500,NA
eu_r002_l005,6400,NA,400,500,NA
eu_r002_l006,6400,NA,200,500,NA
eu_r002_l007,13600,NA,600,500,0
eu_r002_l008,10000,NA,200,500,NA
eu_r003_l001,3200,NA,200,500,NA
eu_r003_l002,3200,NA,200,500,NA
eu_r003_l003,3200,NA,200,500,NA
eu_r003_l004,3200,NA,200,500,NA
eu_r004_l001,3200,NA,200,500,NA
eu_r004_l002,3200,NA,200,500,NA
eu_r004_l003,24000,NA,1800,500,0
eu_r004_l004,3200,NA,200,500,NA
eu_r005_l001,16000,NA,400,500,0
eu_r005_l002,6400,NA,200,500,NA
eu_r005_l003,6400,NA,400,500,NA
eu_r005_l004,3200,NA,200,500,NA
eu_r005_l005,3200,NA,200,500,NA
eu_r005_l006,3200,NA,200,500,NA
eu_r005_l007,6400,NA,200,500,NA
eu_r005_l008,12800,NA,300,500,0
eu_r005_l009,6400,NA,200,500,NA
eu_r005_l010,6400,NA,200,500,NA
eu_r005_l011,4800,NA,300,500,0
eu_r005_l012,6400,NA,400,500,NA
eu_r005_l013,3200,NA,200,500,NA
eu_r005_l014,10000,NA,400,500,NA
eu_r005_l015,6400,NA,200,500,NA
eu_r005_l016,18800,NA,1300,500,NA
eu_r006_l001,3200,NA,200,500,NA
eu_r006_l002,3200,NA,200,500,NA
eu_r006_l003,3200,NA,200,500,NA
eu_r006_l004,3200,NA,200,500,NA
eu_r006_l005,12000,NA,400,500,NA
eu_r006_l006,3200,NA,200,500,NA
eu_r006_l007,3200,NA,200,500,NA
eu_r006_l008,3200,NA,200,500,NA
eu_r007_l001,3200,NA,200,500,NA
eu_r007_l002,3200,NA,200,500,NA
eu_r007_l003,3200,NA,200,500,NA
eu_r007_l004,3200,NA,200,500,NA
eu_r008_l001,3200,NA,200,500,NA
eu_r008_l002,3200,NA,200,500,NA
eu_r008_l003,28800,NA,800,500,NA
eu_r008_l004,6400,NA,200,500,NA
eu_r008_l005,3200,NA,200,500,NA
eu_r008_l006,3200,NA,200,500,NA
eu_r008_l007,10000,NA,200,500,NA
eu_r008_l008,6000,NA,400,500,NA
eu_r008_l009,3200,NA,200,500,NA
eu_r008_l010,3200,NA,200,500,NA
eu_r008_l011,3200,NA,200,500,NA
eu_r008_l012,3200,NA,200,500,NA
eu_r008_l013,3200,NA,200,500,NA
eu_r008_l014,3200,NA,200,500,NA
eu_r008_l015,3200,NA,200,500,NA
eu_r008_l016,3200,NA,200,500,NA
eu_r009_l001,6400,NA,200,500,NA
eu_r009_l002,18000,NA,500,500,NA
eu_r009_l003,18800,NA,700,500,NA
eu_r009_l004,6400,NA,200,500,NA
eu_r009_l005,3200,NA,200,500,NA
eu_r009_l006,3200,NA,200,500,NA
eu_r009_l007,3200,NA,200,500,NA
eu_r009_l008,3200,NA,200,500,NA
am_r001_l001,3200,NA,200,500,NA
am_r001_l002,3200,NA,200,500,NA
am_r001_l003,3200,NA,200,500,NA
am_r001_l004,3200,NA,200,500,NA
am_r002_l001,3200,NA,200,500,NA
am_r002_l002,3200,NA,200,500,NA
am_r002_l003,3200,NA,200,500,NA
am_r002_l004,3200,NA,200,500,NA
am_r002_l005,10000,NA,800,500,NA
am_r002_l006,6400,NA,200,500,NA
am_r002_l007,3200,NA,200,500,NA
am_r002_l008,3200,NA,200,500,NA
am_r003_l001,3200,NA,200,500,NA
am_r003_l002,3200,NA,200,500,NA
am_r003_l003,3200,NA,200,500,NA
am_r003_l004,3200,NA,200,500,NA
am_r004_l001,3200,NA,200,500,NA
am_r004_l002,10000,NA,400,500,NA
am_r004_l003,3200,NA,200,500,NA
am_r004_l004,3200,NA,200,500,NA
am_r004_l005,3200,NA,200,500,NA
am_r004_l006,6400,NA,200,500,NA
am_r004_l007,3200,NA,200,500,NA
am_r004_l008,3200,NA,200,500,NA
am_r005_l001,3200,NA,200,500,NA
am_r005_l002,3200,NA,200,500,NA
am_r005_l003,6400,NA,400,500,NA
am_r005_l004,3200,NA,200,500,NA
am_r005_l005,6400,NA,200,500,NA
am_r005_l006,3200,NA,200,500,NA
am_r005_l007,3200,NA,200,500,NA
am_r005_l008,6400,NA,400,500,NA
am_r005_l009,28000,NA,3600,500,NA
am_r005_l010,3200,NA,200,500,NA
am_r005_l011,3200,NA,200,500,NA
am_r005_l012,3200,NA,200,500,NA
am_r005_l013,3200,NA,200,500,NA
am_r005_l014,3200,NA,200,500,NA
am_r005_l015,3200,NA,200,500,NA
am_r005_l016,3200,NA,200,500,NA
am_r006_l001,3200,NA,200,500,NA
am_r006_l002,3200,NA,200,500,NA
am_r006_l003,3200,NA,200,500,NA
am_r006_l004,3200,NA,200,500,NA
am_r006_l005,3200,NA,200,500,NA
am_r006_l006,3200,NA,200,500,NA
am_r006_l007,3200,NA,200,500,NA
am_r006_l008,3200,NA,200,500,NA
am_r007_l001,3200,NA,200,500,NA
am_r007_l002,3200,NA,200,500,NA
am_r007_l003,3200,NA,200,500,NA
am_r007_l004,10000,NA,800,500,0
am_r007_l005,3200,NA,200,500,NA
am_r007_l006,3200,NA,200,500,NA
am_r007_l007,3200,NA,200,500,NA
am_r007_l008,3200,NA,200,500,NA
am_r008_l001,3200,NA,200,500,NA
am_r008_l002,3200,NA,200,500,NA
am_r008_l003,3200,NA,200,500,NA
am_r008_l004,3200,NA,200,500,NA
am_r008_l005,6400,NA,200,500,NA
am_r008_l006,6400,NA,200,500,NA
am_r008_l007,3200,NA,200,500,NA
