spot_check_id,candidate_id,decision_id,taxon_name,trait_domain_name,proposed_action,proposed_scale_factor,source_decision_text,review_outcome,reviewer_note,reviewer,reviewed_at,evidence_reference
SC-01,cdaa52d425b8372b88b765a2def6a97fdae4cb12f1bc0cef027e1689665ce2e3,50a5ecc369aee4bcae9a2a7f80d7b583d80ef0b8f1939807fe164abc38582ed7,Anchusa barrellieri,Leaf Area,scale,0.1,approve,approve,,project_owner,2026-08-27,Outputs/Reports/Trait_corrections/raw/trait_review_programmatic_spot_check_report.md
SC-02,2920f4b6438723a325565af6212145ae5e7aa470332bf76fa6103701361bea3c,e55212b8fe9e128b63afa39291c3652d0fb5c051ea5aacfa81dce09d28b90b8b,Bellis perennis,Leaf Area,scale,10,approve,approve,,project_owner,2026-08-27,Outputs/Reports/Trait_corrections/raw/trait_review_programmatic_spot_check_report.md
SC-03,f4d239970a847921f12b87f642dd9b3b4f853d9150e9554d89aaf6836b5399b2,e487b05fdcc462262166e3976ebdb10651e8375990d7d857a657d7aa3f890a6b,Crupina vulgaris,Leaf Area,scale,10,needs targeted review,needs_targeted_review,,project_owner,2026-08-27,Outputs/Reports/Trait_corrections/raw/trait_review_programmatic_spot_check_report.md
SC-04,f7b67ae4ceaf650af91b9709b6ff395602b8bba69ff7a938c424711db549d385,b7ec3702dabd88d959d7be244f1887dabcb9458e2be43ed053a5ca51f173443f,Achillea millefolium,Leaf Area,scale,10,needs targeted review (can by multiplied by 100 instead of 10?),needs_targeted_review,Investigate whether the factor should be 100 instead of 10.,project_owner,2026-08-27,Outputs/Reports/Trait_corrections/raw/trait_review_programmatic_spot_check_report.md
SC-05,056b432fceb2f006269e33646b0163aebaed2ef0107f3ebc11216cede7b4f3c4,aee4c7c6d963b66105c60b1789c2f2772ccf05f0d664a36db14ea60b395eba7c,Euphrasia minima,Leaf Area,scale,100,approve,approve,,project_owner,2026-08-27,Outputs/Reports/Trait_corrections/raw/trait_review_programmatic_spot_check_report.md
SC-06,0c85f3d8b937d19ac63d72d14a502e71fc9f21d669c08cb253ba26011a5e9e0c,46013ad2aa2d09b936991c8563b12fe63d670bd7aad6c52ae54d28615c66601d,Erysimum capitatum,Leaf Area,scale,100,approve,approve,,project_owner,2026-08-27,Outputs/Reports/Trait_corrections/raw/trait_review_programmatic_spot_check_report.md
SC-07,1b9202073d4f1280492af7993bcbe15f5763a09be90f25d5892c67c218a37376,5acb1aa6774b6cc155d9ea91fde1d70d082c11d6bbb6d960a07e9e1bbb473e61,Bupleurum fruticescens,Leaf Area,scale,100,approve,approve,,project_owner,2026-08-27,Outputs/Reports/Trait_corrections/raw/trait_review_programmatic_spot_check_report.md
SC-08,e442c91a78e626c0de5885dfb66c814b41ee46ec0491f59a13029c4ec309d13b,2f1d50226c3c9898d711177ae1a211573c381735cc6428f9ab5c86a57ed67b68,Solidago canadensis,Leaf Area,scale,100,approve,approve,,project_owner,2026-08-27,Outputs/Reports/Trait_corrections/raw/trait_review_programmatic_spot_check_report.md
SC-09,e11c540f55a525bd49dd5ea7ee22efbc891ae4848375c5d15bf6b4a16f1751fb,3895925a1dd1324fcf4ac0f21e9e146546f39171bef62631a4d495cc1260590f,Rosa pendulina,Leaf Area,scale,1000,approve,approve,,project_owner,2026-08-27,Outputs/Reports/Trait_corrections/raw/trait_review_programmatic_spot_check_report.md
SC-10,01a087eb655a0a68817f059300dc0f8a7872bf21468eeb7f1397459678f35580,48f0e73a6c4f6af268fc75cb4e1d9bca5cc45e7419d2bf8af00f4296c6767aad,Lonicera periclymenum,Leaf nitrogen content per unit mass,scale,10,approve,approve,,project_owner,2026-08-27,Outputs/Reports/Trait_corrections/raw/trait_review_programmatic_spot_check_report.md
