source_scale_rule_id,vegvault_version,data_source_id,expected_data_source_desc,trait_domain_name,trait_name,scale_factor,expected_match_count,rationale,evidence_reference,review_status,reviewer,reviewed_at
e4504212b94c4e98f98f76ddea21e6c14b670b0c7aae7732d5367fd7d08e2017,1.0.0,294,Trait and biomass data 2014 and 2015 of the BE_LOW project,Leaf Area,,100,1324,Original source leaf-area values are retained in square centimetres and require conversion to square millimetres.,Outputs/Reports/Trait_corrections/raw/trait_review_bellis_dataset_investigation.md,approved,OndrejMottl,2026-08-28
3f0543786babf50f90453c5af328dd77ba325efbdbd416d4aadf3aea9a3c4ec6,1.0.0,509,AlpinePlants_Austria,Leaf Area,,100,2308,Original source leaf-area values are retained in square centimetres and require conversion to square millimetres.,Outputs/Reports/Trait_corrections/raw/trait_review_bellis_dataset_investigation.md,approved,OndrejMottl,2026-08-28
dafcf1b2331a12f892bcef0815ee62674a8b070e5f93b4e845cdbcd3620f3be3,1.0.0,155,Tundra Trait Team,Plant heigh,,100,19715,Source values are in metres while the working Plant heigh scale is centimetres; grouped cross-source evidence supports x100.,Outputs/Reports/Trait_corrections/raw/trait_review_grouped_investigation_report.md,approved,OndrejMottl,2026-08-30
8ddea77f82d884c1f128128e4ecd902453e642499cb52df3b28d00cf682288ab,1.0.0,243,Niwot Alpine Plant Traits,Leaf Area,,100,111,Source leaf-area values are consistent with square centimetres while the working Leaf Area scale is square millimetres.,Outputs/Reports/Trait_corrections/raw/trait_review_grouped_investigation_report.md,approved,OndrejMottl,2026-08-30
30800ec14d04f64be96885655d4d09b23c3c8b236a95849d5a3f2b9a88ab170c,1.0.0,187,Abisko & Sheffield Database,Plant heigh,,100,248,Source values are metre-scaled Plant height observations; post-source-scaling evidence supports conversion to centimetres.,Outputs/Reports/Trait_corrections/raw/trait_review_grouped_investigation_report.md,approved,OndrejMottl,2026-08-30
17ae96fe95cc0ee56d5f617b5044589bf95c13dc2cca79d3ac73b39418314499,1.0.0,457,Alpine tundra plants - effects of climate warming on traits of species in mid-latitude snowbeds,Plant heigh,,100,127,Source values are metre-scaled Plant height observations; post-source-scaling evidence supports conversion to centimetres.,Outputs/Reports/Trait_corrections/raw/trait_review_grouped_investigation_report.md,approved,OndrejMottl,2026-08-30
b6ad8b3f7228d9d549ac52c947ac794d2d46c0fef7942cdc9bf957a8a8a2e679,1.0.0,154,BAAD: a biomass and allometry database for woody plants,Stem specific density,,0.001,182,Source values are in kilograms per cubic metre while the working density scale is grams per cubic centimetre.,Outputs/Reports/Trait_corrections/classified/trait_review_classified_reconciliation_report.md,approved,OndrejMottl,2026-08-31
9ae5771978e17974f01af767bdbf52d3d2735f35c7c43938ecf74f416311ee23,1.0.0,352,"Global Seed Mass, Plant Height Database",Plant heigh,,100,772,Source values are in metres while the working Plant heigh scale is centimetres.,Outputs/Reports/Trait_corrections/classified/trait_review_classified_reconciliation_report.md,approved,OndrejMottl,2026-08-31
97c906fe31a77ac5fee55e78eb7bc23e414574540ead697f130d1355cf189f82,1.0.0,497,Global leaf size dataset,Leaf Area,,100,1592,Source values are in square centimetres while the working Leaf Area scale is square millimetres.,Outputs/Reports/Trait_corrections/classified/trait_review_classified_reconciliation_report.md,approved,OndrejMottl,2026-08-31
de1fd16911999d42ae36d9dbf3523f3f8df9363da29b300bd0c9b52fb4673246,1.0.0,564,Carmona CP,Plant heigh,,100,2477,Source values are in metres while the working Plant heigh scale is centimetres.,Outputs/Reports/Trait_corrections/classified/trait_review_classified_reconciliation_report.md,approved,OndrejMottl,2026-08-31
