current_path,function_name,intended_path,intended_function,leading_verb,naming_status,callers,matching_tests,nested_helpers,nested_helper_disposition,owning_issue,migration_status
R/Functions/Abiotic/Ingest/get_abiotic_data.R,get_abiotic_data,R/Functions/Data/Abiotic/Transformation/extract_abiotic_data.R,extract_abiotic_data,extract,canonical_or_domain_verb,R/03_Supplementary_analyses/Testing/testthat/Data/Abiotic/Transformation/test-extract_abiotic_data.R;R/Functions/Data/Abiotic/Transformation/Predictor_selection/compute_predictor_collinearity.R;R/Functions/Data_access/Vegvault/extract_data_from_vegvault.R;R/Pipelines/_pipes/pipe_segment_abiotic_extract.R,R/03_Supplementary_analyses/Testing/testthat/Data/Abiotic/Transformation/test-extract_abiotic_data.R,,none,#153,migrated
R/Functions/Abiotic/Ingest/get_chelsa_raster.R,get_chelsa_raster,R/Functions/Data/Abiotic/Ingest/load_chelsa_raster.R,load_chelsa_raster,load,canonical_or_domain_verb,R/03_Supplementary_analyses/Testing/testthat/Data/Abiotic/Ingest/test-load_chelsa_raster.R;R/Functions/Prediction/Climate/extract_prediction_climate.R,R/03_Supplementary_analyses/Testing/testthat/Data/Abiotic/Ingest/test-load_chelsa_raster.R,,none,#153,migrated
R/Functions/Abiotic/Predictors/get_predictor_collinearity.R,get_predictor_collinearity,R/Functions/Data/Abiotic/Transformation/Predictor_selection/compute_predictor_collinearity.R,compute_predictor_collinearity,compute,canonical_or_domain_verb,R/03_Supplementary_analyses/Testing/testthat/Data/Abiotic/Transformation/Predictor_selection/test-compute_predictor_collinearity.R;R/Functions/Data/Abiotic/Transformation/Predictor_selection/select_non_collinear_predictors.R;R/Pipelines/_pipes/pipe_segment_abiotic_extract.R,R/03_Supplementary_analyses/Testing/testthat/Data/Abiotic/Transformation/Predictor_selection/test-compute_predictor_collinearity.R,,none,#153,migrated
R/Functions/Abiotic/Predictors/select_non_collinear_predictors.R,select_non_collinear_predictors,R/Functions/Data/Abiotic/Transformation/Predictor_selection/select_non_collinear_predictors.R,select_non_collinear_predictors,select,canonical_or_domain_verb,R/03_Supplementary_analyses/Testing/testthat/Data/Abiotic/Transformation/Predictor_selection/test-select_non_collinear_predictors.R;R/Pipelines/_pipes/pipe_segment_abiotic_extract.R,R/03_Supplementary_analyses/Testing/testthat/Data/Abiotic/Transformation/Predictor_selection/test-select_non_collinear_predictors.R,,none,#153,migrated
R/Functions/Abiotic/Validation/check_abiotic_interpolation_contract.R,check_abiotic_interpolation_contract,R/Functions/Data/Abiotic/Validation/validate_abiotic_interpolation_contract.R,validate_abiotic_interpolation_contract,validate,canonical_or_domain_verb,R/03_Supplementary_analyses/Testing/testthat/Data/Abiotic/Validation/test-validate_abiotic_interpolation_contract.R;R/Pipelines/_pipes/pipe_segment_abiotic_extract.R,R/03_Supplementary_analyses/Testing/testthat/Data/Abiotic/Validation/test-validate_abiotic_interpolation_contract.R,,none,#153,migrated
R/Functions/Community/Classification/append_missing_taxa_to_template.R,append_missing_taxa_to_template,R/Functions/Data/Community/Classification/Reference_tables/save_missing_taxa_template.R,save_missing_taxa_template,save,canonical_or_domain_verb,R/03_Supplementary_analyses/Testing/testthat/Data/Community/Classification/Reference_tables/test-save_missing_taxa_template.R;R/Pipelines/_pipes/pipe_segment_taxa_classification.R;R/Pipelines/_pipes/pipe_segment_traits_classification.R,R/03_Supplementary_analyses/Testing/testthat/Data/Community/Classification/Reference_tables/test-save_missing_taxa_template.R,,none,#153,migrated
R/Functions/Community/Classification/check_and_report_missing_taxa.R,check_and_report_missing_taxa,R/Functions/Data/Community/Classification/Reference_tables/validate_taxa_classification_coverage.R,validate_taxa_classification_coverage,validate,canonical_or_domain_verb,R/03_Supplementary_analyses/Testing/testthat/Data/Community/Classification/Reference_tables/test-validate_taxa_classification_coverage.R;R/Functions/Data/Community/Classification/Reference_tables/save_missing_taxa_template.R;R/Functions/Data/Community/Classification/Reference_tables/validate_taxa_classification_coverage.R;R/Functions/Data/Community/Ingest/Classification/load_auxiliary_classification_table.R;R/Pipelines/_pipes/pipe_segment_taxa_classification.R,R/03_Supplementary_analyses/Testing/testthat/Data/Community/Classification/Reference_tables/test-validate_taxa_classification_coverage.R,,none,#153,migrated
R/Functions/Community/Classification/classify_dataset_prefix.R,classify_dataset_prefix,R/Functions/Data/Community/Classification/Dataset_identity/classify_dataset_prefix.R,classify_dataset_prefix,classify,canonical_or_domain_verb,R/03_Supplementary_analyses/Testing/testthat/Data/Community/Classification/Dataset_identity/test-classify_dataset_prefix.R;R/Functions/Data/Community/Transformation/Modern_records/aggregate_colocated_community_records.R;R/Functions/Data/Community/Quality_control/Colocation/diagnose_colocated_community_records.R,R/03_Supplementary_analyses/Testing/testthat/Data/Community/Classification/Dataset_identity/test-classify_dataset_prefix.R,,none,#153,migrated
R/Functions/Community/Classification/classify_to_functional_type.R,classify_to_functional_type,R/Functions/Data/Community/Classification/Functional_types/classify_to_functional_type.R,classify_to_functional_type,classify,canonical_or_domain_verb,R/03_Supplementary_analyses/Testing/testthat/Data/Community/Classification/Functional_types/test-classify_to_functional_type.R;R/Functions/Traits/Classification/build_community_taxon_trait_table.R;R/Functions/Traits/Clustering/select_ft_groups_by_silhouette.R;R/Pipelines/_pipes/_helpers/make_pipe_segment_ft_classification_continental.R;R/Pipelines/_pipes/pipe_segment_community_by_resolution_modern.R;R/Pipelines/_pipes/pipe_segment_community_by_resolution_paleo.R,R/03_Supplementary_analyses/Testing/testthat/Data/Community/Classification/Functional_types/test-classify_to_functional_type.R,,none,#153,migrated
R/Functions/Community/Classification/combine_classification_tables.R,combine_classification_tables,R/Functions/Data/Community/Classification/Reference_tables/build_combined_classification_table.R,build_combined_classification_table,build,canonical_or_domain_verb,R/03_Supplementary_analyses/Testing/testthat/Data/Community/Classification/Reference_tables/test-build_combined_classification_table.R;R/Functions/Data/Community/Classification/Reference_tables/validate_taxa_classification_coverage.R;R/Functions/Data/Community/Ingest/Classification/load_auxiliary_classification_table.R;R/Functions/Traits/Classification/build_community_taxon_trait_table.R;R/Pipelines/_pipes/pipe_segment_taxa_classification.R;R/Pipelines/_pipes/pipe_segment_traits_classification.R,R/03_Supplementary_analyses/Testing/testthat/Data/Community/Classification/Reference_tables/test-build_combined_classification_table.R,,none,#153,migrated
