current_path,intended_path,classification,owning_issue,lifecycle_status,migration_status,caller_notes,documentation_notes
R/01_Data_processing/Spatial/Generate_spatial_grid.R,R/03_Supplementary_analyses/Validation/Scientific_references/Spatial_grid/build_spatial_grid_catalogue.R,scientific_reference,#153,active,migrated,Active references use the scientific-reference path.,Backstory and regeneration safeguards are documented beside the runner.
R/01_Data_processing/Spatial/_outdated/Migrate_spatial_grid_add_resolution_columns.R,R/03_Supplementary_analyses/One_time/Data_migrations/Spatial_grid/migrate_spatial_grid_resolution_columns.R,one_time,#153,archived,migrated,No active caller; retained as completed migration provenance.,Backstory and retirement policy are documented beside the script.
R/01_Data_processing/Traits/Run_trait_analyses.R,R/03_Supplementary_analyses/Validation/Scientific_references/Traits/run_traits_reference_pipeline.R,scientific_reference,#153,active,migrated,Configuration metadata names the scientific-reference runner.,Backstory and regeneration policy are documented beside the runner.
R/01_Data_processing/Traits/_archive/01_Extract_trait_data.R,R/03_Supplementary_analyses/One_time/Historical/Traits/Pre_targets_pipeline/01_extract_trait_data.R,one_time,#153,archived,migrated,No active caller; retained with the superseded sequential workflow.,Historical status and retirement policy are documented beside the scripts.
R/01_Data_processing/Traits/_archive/02_Classify_and_align_taxa.R,R/03_Supplementary_analyses/One_time/Historical/Traits/Pre_targets_pipeline/02_classify_and_align_taxa.R,one_time,#153,archived,migrated,No active caller; retained with the superseded sequential workflow.,Historical status and retirement policy are documented beside the scripts.
R/01_Data_processing/Traits/_archive/03_Build_trait_table.R,R/03_Supplementary_analyses/One_time/Historical/Traits/Pre_targets_pipeline/03_build_trait_table.R,one_time,#153,archived,migrated,No active caller; retained with the superseded sequential workflow.,Historical status and retirement policy are documented beside the scripts.
R/02_Main_analyses/01_Spatial/01_Paleo/01_Run_spatial_continental.R,R/02_Main_analyses/01_Spatial/01_Paleo/01_Runners/01_run_spatial_continental.R,main_analysis,#152,active,migrated,Active references use the numbered intended path.,Path migration completed by #152.
R/02_Main_analyses/01_Spatial/01_Paleo/02_Run_spatial_regional.R,R/02_Main_analyses/01_Spatial/01_Paleo/01_Runners/02_run_spatial_regional.R,main_analysis,#152,active,migrated,Active references use the numbered intended path.,Path migration completed by #152.
R/02_Main_analyses/01_Spatial/01_Paleo/03_Run_spatial_local.R,R/02_Main_analyses/01_Spatial/01_Paleo/01_Runners/03_run_spatial_local.R,main_analysis,#152,active,migrated,Active references use the numbered intended path.,Path migration completed by #152.
R/02_Main_analyses/01_Spatial/01_Paleo/04_Diagnose_spatial_pipelines.R,R/03_Supplementary_analyses/Diagnostics/Pipelines/Spatial/Paleo/diagnose_spatial_pipelines.R,diagnostic,#152,active,migrated,Active references use the intended path.,Path migration completed by #152.
R/02_Main_analyses/01_Spatial/01_Paleo/05_Rerun_non_converged_spatial.R,R/03_Supplementary_analyses/Sensitivity/Modelling/Spatial/Paleo/rerun_non_converged_spatial_models.R,supplementary_or_processing,#152,active,migrated,Active references use the intended path.,Path migration completed by #152.
R/02_Main_analyses/01_Spatial/01_Paleo/06_Plot_spatial_anova_maps.R,R/02_Main_analyses/01_Spatial/01_Paleo/03_Visualisation/01_plot_spatial_anova_maps.R,main_analysis,#152,active,migrated,Active references use the numbered intended path.,Path migration completed by #152.
R/02_Main_analyses/01_Spatial/01_Paleo/07_Analyse_spatial_patterns.R,R/02_Main_analyses/01_Spatial/01_Paleo/02_Synthesis/01_analyse_spatial_patterns.R,main_analysis,#152,active,migrated,Active references use the numbered intended path.,Path migration completed by #152.
R/02_Main_analyses/01_Spatial/01_Paleo/08_Plot_variance_waffle_by_scale_and_taxonomic_resolution.R,R/02_Main_analyses/01_Spatial/01_Paleo/03_Visualisation/02_plot_variance_waffle_by_scale_and_taxonomic_resolution.R,main_analysis,#152,active,migrated,Active references use the numbered intended path.,Path migration completed by #152.
R/02_Main_analyses/01_Spatial/01_Paleo/09_Plot_variance_stack_and_biotic_spread.R,R/02_Main_analyses/01_Spatial/01_Paleo/03_Visualisation/03_plot_variance_stack_and_biotic_spread.R,main_analysis,#152,active,migrated,Active references use the numbered intended path.,Path migration completed by #152.
R/02_Main_analyses/01_Spatial/02_Contemporary/00_Diagnose_modern_preprocessing.R,R/03_Supplementary_analyses/Diagnostics/Data_processing/Spatial/Modern/diagnose_modern_preprocessing.R,diagnostic,#152,active,migrated,Active references use the intended path.,Path migration completed by #152.
R/02_Main_analyses/01_Spatial/02_Contemporary/01_Run_modern_continental.R,R/02_Main_analyses/01_Spatial/02_Modern/01_Runners/01_run_modern_continental.R,main_analysis,#152,active,migrated,Active references use the numbered intended path.,Path migration completed by #152.
R/02_Main_analyses/01_Spatial/02_Contemporary/02_Run_modern_regional.R,R/02_Main_analyses/01_Spatial/02_Modern/01_Runners/02_run_modern_regional.R,main_analysis,#152,active,migrated,Active references use the numbered intended path.,Path migration completed by #152.
R/02_Main_analyses/01_Spatial/02_Contemporary/03_Run_modern_local.R,R/02_Main_analyses/01_Spatial/02_Modern/01_Runners/03_run_modern_local.R,main_analysis,#152,active,migrated,Active references use the numbered intended path.,Path migration completed by #152.
R/02_Main_analyses/01_Spatial/02_Contemporary/04_Analyse_modern_patterns.R,R/02_Main_analyses/01_Spatial/02_Modern/02_Synthesis/01_analyse_modern_patterns.R,main_analysis,#152,active,migrated,Active references use the numbered intended path.,Path migration completed by #152.
R/02_Main_analyses/01_Spatial/02_Contemporary/05_Compare_paleo_modern.R,R/02_Main_analyses/01_Spatial/02_Modern/02_Synthesis/02_compare_paleo_modern.R,main_analysis,#152,active,migrated,Active references use the numbered intended path.,Path migration completed by #152.
R/02_Main_analyses/01_Spatial/02_Contemporary/06_Tune_modern_spatial_convergence.R,R/03_Supplementary_analyses/Sensitivity/Modelling/Spatial/Modern/tune_modern_spatial_convergence.R,sensitivity,#152,active,migrated,Active references use the intended path.,Path migration completed by #152.
R/02_Main_analyses/01_Spatial/02_Contemporary/06_Visualise_variance_partitioning.R,R/02_Main_analyses/01_Spatial/02_Modern/03_Visualisation/01_plot_variance_partitioning.R,main_analysis,#152,active,migrated,Active references use the numbered intended path.,Path migration completed by #152.
R/02_Main_analyses/01_Spatial/02_Contemporary/07_Visualise_paleo_modern_comparison.R,R/02_Main_analyses/01_Spatial/02_Modern/03_Visualisation/02_plot_paleo_modern_comparison.R,main_analysis,#152,active,migrated,Active references use the numbered intended path.,Path migration completed by #152.
R/02_Main_analyses/01_Spatial/02_Contemporary/08_Visualise_ft_comparison.R,R/02_Main_analyses/01_Spatial/02_Modern/03_Visualisation/03_plot_functional_type_comparison.R,main_analysis,#152,active,migrated,Active references use the numbered intended path.,Path migration completed by #152.
R/02_Main_analyses/02_Temporal_Paleo/01_Run_temporal_europe.R,R/02_Main_analyses/02_Temporal/01_Paleo/01_Runners/01_run_temporal_europe.R,main_analysis,#152,active,migrated,Active references use the numbered intended path.,Path migration completed by #152.
R/02_Main_analyses/02_Temporal_Paleo/02_Run_temporal_america.R,R/02_Main_analyses/02_Temporal/01_Paleo/01_Runners/02_run_temporal_america.R,main_analysis,#152,active,migrated,Active references use the numbered intended path.,Path migration completed by #152.
R/02_Main_analyses/02_Temporal_Paleo/03_Run_temporal_asia.R,R/02_Main_analyses/02_Temporal/01_Paleo/01_Runners/03_run_temporal_asia.R,main_analysis,#152,active,migrated,Active references use the numbered intended path.,Path migration completed by #152.
R/02_Main_analyses/02_Temporal_Paleo/04_Plot_temporal_continents.R,R/02_Main_analyses/02_Temporal/01_Paleo/02_Visualisation/01_plot_temporal_continents.R,main_analysis,#152,active,migrated,Active references use the numbered intended path.,Path migration completed by #152.
