route_id,repeat_id,fold_id,component,loss_full,loss_reduced,delta_loss,delta_loss_clamped,share,defined
pooled_spatial_age_main,1,fold_001,Abiotic,6.181723714513801,1.4742169589281147,-4.707506755585686,0,NA,FALSE
pooled_spatial_age_main,1,fold_001,Spatial,6.181723714513801,NA,NA,NA,NA,FALSE
pooled_spatial_age_main,1,fold_001,Associations,6.181723714513801,6.612912587189561,0.4311888726757598,0.4311888726757598,NA,FALSE
pooled_spatial_age_main,1,fold_002,Abiotic,NA,NA,NA,NA,NA,FALSE
pooled_spatial_age_main,1,fold_002,Spatial,NA,NA,NA,NA,NA,FALSE
pooled_spatial_age_main,1,fold_002,Associations,NA,NA,NA,NA,NA,FALSE
pooled_spatial_age_main,1,fold_003,Abiotic,NA,NA,NA,NA,NA,FALSE
pooled_spatial_age_main,1,fold_003,Spatial,NA,NA,NA,NA,NA,FALSE
pooled_spatial_age_main,1,fold_003,Associations,NA,NA,NA,NA,NA,FALSE
pooled_spatial_age_main,1,fold_004,Abiotic,NA,NA,NA,NA,NA,FALSE
pooled_spatial_age_main,1,fold_004,Spatial,NA,NA,NA,NA,NA,FALSE
pooled_spatial_age_main,1,fold_004,Associations,NA,NA,NA,NA,NA,FALSE
pooled_spatial_age_main,1,fold_005,Abiotic,NA,NA,NA,NA,NA,FALSE
pooled_spatial_age_main,1,fold_005,Spatial,NA,NA,NA,NA,NA,FALSE
pooled_spatial_age_main,1,fold_005,Associations,NA,NA,NA,NA,NA,FALSE
pooled_spatial_age_main,2,fold_001,Abiotic,NA,NA,NA,NA,NA,FALSE
pooled_spatial_age_main,2,fold_001,Spatial,NA,NA,NA,NA,NA,FALSE
pooled_spatial_age_main,2,fold_001,Associations,NA,NA,NA,NA,NA,FALSE
pooled_spatial_age_main,2,fold_002,Abiotic,4.237201560003183,1.7833787587312893,-2.453822801271894,0,NA,FALSE
pooled_spatial_age_main,2,fold_002,Spatial,4.237201560003183,NA,NA,NA,NA,FALSE
