calibration_stage,budget_order,candidate_id,repeat_id,fold_id,attempt,n_iter_budget,n_sampling,epochs_run,linear_trend_slope,median_diff,converged,early_stopping_triggered,runtime_seconds,fit_seed,fit_status,error_message
screening,1,candidate_001,1,1,1,500,100,307,0,0,TRUE,TRUE,104.01,870878574,ok,NA
screening,1,candidate_002,1,1,1,500,100,292,0,0,TRUE,TRUE,97.59,1256863007,ok,NA
screening,1,candidate_003,1,1,1,500,100,266,0,0,TRUE,TRUE,87.72,1507550643,ok,NA
screening,1,candidate_004,1,1,1,500,100,356,0,0.01,TRUE,TRUE,119.55000000000001,794659114,ok,NA
screening,1,candidate_005,1,1,1,500,100,256,0.01,0.13,FALSE,TRUE,86.14000000000004,1084459063,ok,NA
screening,1,candidate_006,1,1,1,500,100,218,0.01,0.09,FALSE,TRUE,73.54999999999995,447383268,ok,NA
screening,1,candidate_007,1,1,1,500,100,316,0,0,TRUE,TRUE,108.25,672286332,ok,NA
screening,1,candidate_008,1,1,1,500,100,201,0,0.09,TRUE,TRUE,68.78999999999996,1473678031,ok,NA
screening,1,candidate_001,1,2,1,500,100,233,0,0.01,TRUE,TRUE,76.86000000000001,697951849,ok,NA
screening,1,candidate_002,1,2,1,500,100,322,0,0,TRUE,TRUE,106.54999999999995,52822484,ok,NA
screening,1,candidate_003,1,2,1,500,100,234,0,0.01,TRUE,TRUE,75.82000000000005,1151115411,ok,NA
screening,1,candidate_004,1,2,1,500,100,250,0,0.01,TRUE,TRUE,82.09999999999991,1521252653,ok,NA
screening,1,candidate_005,1,2,1,500,100,315,0,0.06,TRUE,TRUE,106.42000000000007,1713238360,ok,NA
screening,1,candidate_006,1,2,1,500,100,232,0.01,0.03,FALSE,TRUE,74.84000000000015,1610865948,ok,NA
screening,1,candidate_007,1,2,1,500,100,263,0,0.07,TRUE,TRUE,86.6099999999999,1719220656,ok,NA
screening,1,candidate_008,1,2,1,500,100,304,0,0.08,TRUE,TRUE,99.73000000000002,2052675864,ok,NA
screening,1,candidate_001,1,3,1,500,100,361,0,0.01,TRUE,TRUE,118.56999999999994,1342058255,ok,NA
screening,1,candidate_002,1,3,1,500,100,359,0,0,TRUE,TRUE,114.96000000000004,35910250,ok,NA
screening,1,candidate_003,1,3,1,500,100,275,0,0,TRUE,TRUE,87.30999999999995,1350102261,ok,NA
screening,1,candidate_004,1,3,1,500,100,272,0,0,TRUE,TRUE,87.15000000000009,355915494,ok,NA
screening,1,candidate_005,1,3,1,500,100,267,0,0.02,TRUE,TRUE,88.69000000000005,386122903,ok,NA
screening,1,candidate_006,1,3,1,500,100,267,0,0.03,TRUE,TRUE,90.27000000000021,201981318,ok,NA
screening,1,candidate_007,1,3,1,500,100,320,0,0.02,TRUE,TRUE,105.96000000000004,662514751,ok,NA
screening,1,candidate_008,1,3,1,500,100,211,0.01,0.12,FALSE,TRUE,70.51999999999998,1416569473,ok,NA
screening,2,candidate_001,1,1,1,1000,100,407,0,0,TRUE,TRUE,134.74000000000024,870878574,ok,NA
screening,2,candidate_002,1,1,1,1000,100,392,0,0,TRUE,TRUE,126.07999999999993,1256863007,ok,NA
screening,2,candidate_003,1,1,1,1000,100,366,0,0.01,TRUE,TRUE,119.36000000000013,1507550643,ok,NA
screening,2,candidate_004,1,1,1,1000,100,618,0,0,TRUE,TRUE,201.25,794659114,ok,NA
screening,2,candidate_005,1,1,1,1000,100,356,0,0.04,TRUE,TRUE,118.13999999999987,1084459063,ok,NA
screening,2,candidate_006,1,1,1,1000,100,318,0,0.05,TRUE,TRUE,108.76999999999998,447383268,ok,NA
screening,2,candidate_007,1,1,1,1000,100,553,0,0.02,TRUE,TRUE,181.9699999999998,672286332,ok,NA
screening,2,candidate_008,1,1,1,1000,100,301,0,0.06,TRUE,TRUE,100.4699999999998,1473678031,ok,NA
screening,2,candidate_001,1,2,1,1000,100,622,0,0,TRUE,TRUE,203.48000000000002,697951849,ok,NA
screening,2,candidate_002,1,2,1,1000,100,422,0,0.01,TRUE,TRUE,145.05999999999995,52822484,ok,NA
screening,2,candidate_003,1,2,1,1000,100,334,0,0,TRUE,TRUE,114.0300000000002,1151115411,ok,NA
screening,2,candidate_004,1,2,1,1000,100,350,0,0,TRUE,TRUE,119.40000000000009,1521252653,ok,NA
screening,2,candidate_005,1,2,1,1000,100,415,0,0.02,TRUE,TRUE,143.14000000000033,1713238360,ok,NA
screening,2,candidate_006,1,2,1,1000,100,332,0,0.16,TRUE,TRUE,114.03999999999996,1610865948,ok,NA
screening,2,candidate_007,1,2,1,1000,100,555,0,0.06,TRUE,TRUE,189.8099999999995,1719220656,ok,NA
screening,2,candidate_008,1,2,1,1000,100,404,0,0.03,TRUE,TRUE,138.07000000000062,2052675864,ok,NA
screening,2,candidate_001,1,3,1,1000,100,461,0,0,TRUE,TRUE,159.23999999999978,1342058255,ok,NA
screening,2,candidate_002,1,3,1,1000,100,459,0,0,TRUE,TRUE,158.34000000000015,35910250,ok,NA
screening,2,candidate_003,1,3,1,1000,100,375,0,0,TRUE,TRUE,127.73999999999978,1350102261,ok,NA
screening,2,candidate_004,1,3,1,1000,100,372,0,0,TRUE,TRUE,127.92000000000007,355915494,ok,NA
screening,2,candidate_005,1,3,1,1000,100,485,0,0.04,TRUE,TRUE,168.22000000000025,386122903,ok,NA
screening,2,candidate_006,1,3,1,1000,100,367,0,0.03,TRUE,TRUE,126.30000000000018,201981318,ok,NA
screening,2,candidate_007,1,3,1,1000,100,420,0,0.02,TRUE,TRUE,144.34999999999945,662514751,ok,NA
screening,2,candidate_008,1,3,1,1000,100,424,0,0.07,TRUE,TRUE,144.92999999999938,1416569473,ok,NA
screening,3,candidate_001,1,1,1,2000,100,607,0,0.01,TRUE,TRUE,209.26000000000022,870878574,ok,NA
screening,3,candidate_002,1,1,1,2000,100,865,0,0,TRUE,TRUE,296.8099999999995,1256863007,ok,NA
screening,3,candidate_003,1,1,1,2000,100,566,0,0,TRUE,TRUE,195.7599999999993,1507550643,ok,NA
screening,3,candidate_004,1,1,1,2000,100,1082,0,0,TRUE,TRUE,371.52999999999975,794659114,ok,NA
screening,3,candidate_005,1,1,1,2000,100,556,0,0.16,TRUE,TRUE,193.17000000000007,1084459063,ok,NA
screening,3,candidate_006,1,1,1,2000,100,518,0,0.06,TRUE,TRUE,179.1800000000003,447383268,ok,NA
screening,3,candidate_007,1,1,1,2000,100,1318,0,0.06,TRUE,TRUE,454.5799999999999,672286332,ok,NA
screening,3,candidate_008,1,1,1,2000,100,734,0,0.04,TRUE,TRUE,253.83999999999924,1473678031,ok,NA
screening,3,candidate_001,1,2,1,2000,100,822,0,0,TRUE,TRUE,284.5500000000002,697951849,ok,NA
screening,3,candidate_002,1,2,1,2000,100,957,0,0.01,TRUE,TRUE,327.9400000000005,52822484,ok,NA
screening,3,candidate_003,1,2,1,2000,100,735,0,0,TRUE,TRUE,252.97999999999956,1151115411,ok,NA
screening,3,candidate_004,1,2,1,2000,100,550,0,0,TRUE,TRUE,190.38999999999942,1521252653,ok,NA
screening,3,candidate_005,1,2,1,2000,100,615,0,0.09,TRUE,TRUE,212.46999999999935,1713238360,ok,NA
screening,3,candidate_006,1,2,1,2000,100,532,0,0.01,TRUE,TRUE,181.52999999999884,1610865948,ok,NA
screening,3,candidate_007,1,2,1,2000,100,1484,0,0.02,TRUE,TRUE,510.6700000000001,1719220656,ok,NA
screening,3,candidate_008,1,2,1,2000,100,604,0,0.02,TRUE,TRUE,207.53000000000065,2052675864,ok,NA
screening,3,candidate_001,1,3,1,2000,100,661,0,0,TRUE,TRUE,226.63000000000102,1342058255,ok,NA
screening,3,candidate_002,1,3,1,2000,100,1415,0,0,TRUE,TRUE,477.97000000000116,35910250,ok,NA
screening,3,candidate_003,1,3,1,2000,100,966,0,0,TRUE,TRUE,329.9500000000007,1350102261,ok,NA
screening,3,candidate_004,1,3,1,2000,100,572,0,0,TRUE,TRUE,195.67000000000007,355915494,ok,NA
screening,3,candidate_005,1,3,1,2000,100,685,0,0.06,TRUE,TRUE,235.07999999999993,386122903,ok,NA
screening,3,candidate_006,1,3,1,2000,100,567,0,0.05,TRUE,TRUE,196.4499999999989,201981318,ok,NA
screening,3,candidate_007,1,3,1,2000,100,620,0,0.09,TRUE,TRUE,212.85999999999876,662514751,ok,NA
screening,3,candidate_008,1,3,1,2000,100,624,0,0.08,TRUE,TRUE,215.21000000000095,1416569473,ok,NA
confirmation,2,candidate_001,1,1,1,1000,200,521,0,0,TRUE,TRUE,270.75,870878574,ok,NA
confirmation,2,candidate_003,1,1,1,1000,200,303,0,0.01,TRUE,TRUE,156.22000000000116,1507550643,ok,NA
confirmation,2,candidate_001,1,2,1,1000,200,321,0,0,TRUE,TRUE,166.25,697951849,ok,NA
confirmation,2,candidate_003,1,2,1,1000,200,352,0,0.01,TRUE,TRUE,182.25,1151115411,ok,NA
confirmation,2,candidate_001,1,3,1,1000,200,478,0,0,TRUE,TRUE,242.17000000000007,1342058255,ok,NA
confirmation,2,candidate_003,1,3,1,1000,200,592,0,0,TRUE,TRUE,304.8000000000011,1350102261,ok,NA
confirmation,2,candidate_001,1,4,1,1000,200,373,0,0,TRUE,TRUE,193.8199999999997,1265372349,ok,NA
confirmation,2,candidate_003,1,4,1,1000,200,373,0,0,TRUE,TRUE,193.75,977713106,ok,NA
confirmation,2,candidate_001,1,5,1,1000,200,346,0,0,TRUE,TRUE,174.8799999999992,715907924,ok,NA
confirmation,2,candidate_003,1,5,1,1000,200,415,0,0,TRUE,TRUE,217.3199999999997,416831282,ok,NA
confirmation,2,candidate_001,2,1,1,1000,200,400,0,0,TRUE,TRUE,206.1200000000008,1776830026,ok,NA
confirmation,2,candidate_003,2,1,1,1000,200,303,0,0,TRUE,TRUE,157.20000000000073,1083145976,ok,NA
confirmation,2,candidate_001,2,2,1,1000,200,406,0,0,TRUE,TRUE,208.98000000000138,1931722072,ok,NA
confirmation,2,candidate_003,2,2,1,1000,200,394,0,0,TRUE,TRUE,201.3799999999992,185524599,ok,NA
confirmation,2,candidate_001,2,3,1,1000,200,386,0,0,TRUE,TRUE,198.64000000000124,1279130091,ok,NA
confirmation,2,candidate_003,2,3,1,1000,200,453,0,0,TRUE,TRUE,231.59000000000015,1092964207,ok,NA
confirmation,2,candidate_001,2,4,1,1000,200,395,0,0,TRUE,TRUE,204.01000000000022,21815022,ok,NA
confirmation,2,candidate_003,2,4,1,1000,200,384,0,0.01,TRUE,TRUE,198.42000000000007,731538335,ok,NA
confirmation,2,candidate_001,2,5,1,1000,200,359,0,0,TRUE,TRUE,183.72999999999956,1073201787,ok,NA
confirmation,2,candidate_003,2,5,1,1000,200,464,0,0,TRUE,TRUE,239.3000000000011,1297850274,ok,NA
