calibration_stage,budget_order,candidate_id,repeat_id,fold_id,attempt,n_iter_budget,n_sampling,epochs_run,linear_trend_slope,median_diff,converged,early_stopping_triggered,runtime_seconds,fit_seed,fit_status,error_message
screening,1,candidate_001,1,1,1,500,100,232,0,0,TRUE,TRUE,44.400000000000006,870878574,ok,NA
screening,1,candidate_002,1,1,1,500,100,210,0,0,TRUE,TRUE,40.72,1256863007,ok,NA
screening,1,candidate_003,1,1,1,500,100,184,0,0,TRUE,TRUE,36.139999999999986,1507550643,ok,NA
screening,1,candidate_004,1,1,1,500,100,236,0,0,TRUE,TRUE,46.84,794659114,ok,NA
screening,1,candidate_005,1,1,1,500,100,231,0,0,TRUE,TRUE,46.900000000000006,1084459063,ok,NA
screening,1,candidate_006,1,1,1,500,100,196,0,0,TRUE,TRUE,40.34000000000003,447383268,ok,NA
screening,1,candidate_007,1,1,1,500,100,202,0,0,TRUE,TRUE,40.94999999999999,672286332,ok,NA
screening,1,candidate_008,1,1,1,500,100,192,0,0,TRUE,TRUE,38.370000000000005,1473678031,ok,NA
screening,1,candidate_001,1,2,1,500,100,196,0,0,TRUE,TRUE,38.55000000000001,697951849,ok,NA
screening,1,candidate_002,1,2,1,500,100,191,0,0,TRUE,TRUE,35.420000000000016,52822484,ok,NA
screening,1,candidate_003,1,2,1,500,100,216,0,0,TRUE,TRUE,42.18000000000001,1151115411,ok,NA
screening,1,candidate_004,1,2,1,500,100,215,0,0,TRUE,TRUE,41.480000000000075,1521252653,ok,NA
screening,1,candidate_005,1,2,1,500,100,201,0,0,TRUE,TRUE,39.27999999999997,1713238360,ok,NA
screening,1,candidate_006,1,2,1,500,100,229,0,0,TRUE,TRUE,45.91999999999996,1610865948,ok,NA
screening,1,candidate_007,1,2,1,500,100,220,0,0,TRUE,TRUE,43.35000000000002,1719220656,ok,NA
screening,1,candidate_008,1,2,1,500,100,216,0,0,TRUE,TRUE,42.3599999999999,2052675864,ok,NA
screening,1,candidate_001,1,3,1,500,100,268,0,0,TRUE,TRUE,51.43999999999994,1342058255,ok,NA
screening,1,candidate_002,1,3,1,500,100,210,0,0,TRUE,TRUE,41.210000000000036,35910250,ok,NA
screening,1,candidate_003,1,3,1,500,100,236,0,0,TRUE,TRUE,46.22000000000003,1350102261,ok,NA
screening,1,candidate_004,1,3,1,500,100,192,0,0,TRUE,TRUE,37.42000000000007,355915494,ok,NA
screening,1,candidate_005,1,3,1,500,100,270,0,0,TRUE,TRUE,52.629999999999995,386122903,ok,NA
screening,1,candidate_006,1,3,1,500,100,201,0,0,TRUE,TRUE,39.05000000000007,201981318,ok,NA
screening,1,candidate_007,1,3,1,500,100,278,0,0,TRUE,TRUE,54.940000000000055,662514751,ok,NA
screening,1,candidate_008,1,3,1,500,100,174,0,0,TRUE,TRUE,35.48000000000002,1416569473,ok,NA
screening,2,candidate_001,1,1,1,1000,100,332,0,0,TRUE,TRUE,65.44999999999982,870878574,ok,NA
screening,2,candidate_002,1,1,1,1000,100,411,0,0,TRUE,TRUE,80.20000000000005,1256863007,ok,NA
screening,2,candidate_003,1,1,1,1000,100,284,0,0,TRUE,TRUE,57.190000000000055,1507550643,ok,NA
screening,2,candidate_004,1,1,1,1000,100,336,0,0,TRUE,TRUE,68.69999999999982,794659114,ok,NA
screening,2,candidate_005,1,1,1,1000,100,331,0,0,TRUE,TRUE,64.51999999999998,1084459063,ok,NA
screening,2,candidate_006,1,1,1,1000,100,296,0,0,TRUE,TRUE,57.8900000000001,447383268,ok,NA
screening,2,candidate_007,1,1,1,1000,100,302,0,0,TRUE,TRUE,61.8599999999999,672286332,ok,NA
screening,2,candidate_008,1,1,1,1000,100,292,0,0,TRUE,TRUE,58.33999999999992,1473678031,ok,NA
screening,2,candidate_001,1,2,1,1000,100,296,0,0,TRUE,TRUE,58.5,697951849,ok,NA
screening,2,candidate_002,1,2,1,1000,100,291,0,0,TRUE,TRUE,55.75,52822484,ok,NA
screening,2,candidate_003,1,2,1,1000,100,316,0,0,TRUE,TRUE,65.11000000000013,1151115411,ok,NA
screening,2,candidate_004,1,2,1,1000,100,315,0,0,TRUE,TRUE,63.13000000000011,1521252653,ok,NA
screening,2,candidate_005,1,2,1,1000,100,301,0,0,TRUE,TRUE,59.97000000000003,1713238360,ok,NA
screening,2,candidate_006,1,2,1,1000,100,329,0,0,TRUE,TRUE,63.20999999999981,1610865948,ok,NA
screening,2,candidate_007,1,2,1,1000,100,320,0,0,TRUE,TRUE,64.65999999999985,1719220656,ok,NA
screening,2,candidate_008,1,2,1,1000,100,316,0,0,TRUE,TRUE,66.16999999999985,2052675864,ok,NA
screening,2,candidate_001,1,3,1,1000,100,368,0,0,TRUE,TRUE,73.59999999999991,1342058255,ok,NA
screening,2,candidate_002,1,3,1,1000,100,310,0,0,TRUE,TRUE,60.89000000000033,35910250,ok,NA
screening,2,candidate_003,1,3,1,1000,100,443,0,0,TRUE,TRUE,81.91999999999962,1350102261,ok,NA
screening,2,candidate_004,1,3,1,1000,100,472,0,0,TRUE,TRUE,92.9699999999998,355915494,ok,NA
screening,2,candidate_005,1,3,1,1000,100,370,0,0,TRUE,TRUE,73.82999999999993,386122903,ok,NA
screening,2,candidate_006,1,3,1,1000,100,301,0,0,TRUE,TRUE,59.5,201981318,ok,NA
screening,2,candidate_007,1,3,1,1000,100,378,0,0,TRUE,TRUE,77.52999999999975,662514751,ok,NA
screening,2,candidate_008,1,3,1,1000,100,274,0,0,TRUE,TRUE,53.89000000000033,1416569473,ok,NA
confirmation,1,candidate_001,1,1,1,500,200,195,0,0,TRUE,TRUE,44.33000000000038,870878574,ok,NA
confirmation,1,candidate_005,1,1,1,500,200,233,0,0,TRUE,TRUE,49.63999999999987,1084459063,ok,NA
confirmation,1,candidate_001,1,2,1,500,200,183,0,0,TRUE,TRUE,39.559999999999945,697951849,ok,NA
confirmation,1,candidate_005,1,2,1,500,200,201,0,0,TRUE,TRUE,45.529999999999745,1713238360,ok,NA
confirmation,1,candidate_001,1,3,1,500,200,292,0,0,TRUE,TRUE,64.30999999999995,1342058255,ok,NA
confirmation,1,candidate_005,1,3,1,500,200,270,0,0,TRUE,TRUE,52.32999999999993,386122903,ok,NA
confirmation,1,candidate_001,1,4,1,500,200,264,0,0,TRUE,TRUE,56.67000000000007,1265372349,ok,NA
confirmation,1,candidate_005,1,4,1,500,200,185,0,0,TRUE,TRUE,39.98000000000002,283560750,ok,NA
confirmation,1,candidate_001,1,5,1,500,200,283,0,0,TRUE,TRUE,61.13000000000011,715907924,ok,NA
confirmation,1,candidate_005,1,5,1,500,200,180,0,0,TRUE,TRUE,38.710000000000036,1173813307,ok,NA
confirmation,1,candidate_001,2,1,1,500,200,189,0,0,TRUE,TRUE,42,1776830026,ok,NA
confirmation,1,candidate_005,2,1,1,500,200,191,0,0,TRUE,TRUE,40.92000000000007,1785504573,ok,NA
confirmation,1,candidate_001,2,2,1,500,200,207,0,0,TRUE,TRUE,42.820000000000164,1931722072,ok,NA
confirmation,1,candidate_005,2,2,1,500,200,202,0,0,TRUE,TRUE,43.34999999999991,569056883,ok,NA
confirmation,1,candidate_001,2,3,1,500,200,215,0,0,TRUE,TRUE,43.7199999999998,1279130091,ok,NA
confirmation,1,candidate_005,2,3,1,500,200,170,0,0,TRUE,TRUE,33,733385680,ok,NA
confirmation,1,candidate_001,2,4,1,500,200,209,0,0,TRUE,TRUE,45.90000000000009,21815022,ok,NA
confirmation,1,candidate_005,2,4,1,500,200,205,0,0,TRUE,TRUE,43.80000000000018,635578381,ok,NA
confirmation,1,candidate_001,2,5,1,500,200,274,0,0,TRUE,TRUE,59.68000000000029,1073201787,ok,NA
confirmation,1,candidate_005,2,5,1,500,200,201,0,0,TRUE,TRUE,45.07999999999993,1904855083,ok,NA
