calibration_stage,budget_order,candidate_id,repeat_id,fold_id,attempt,n_iter_budget,n_sampling,epochs_run,linear_trend_slope,median_diff,converged,early_stopping_triggered,runtime_seconds,fit_seed,fit_status,error_message
screening,1,candidate_001,1,1,1,500,100,291,0,0,TRUE,TRUE,251.20000000000002,870878574,ok,NA
screening,1,candidate_002,1,1,1,500,100,248,0,0.01,TRUE,TRUE,212.60999999999996,1256863007,ok,NA
screening,1,candidate_003,1,1,1,500,100,317,0,0.01,TRUE,TRUE,273.59999999999997,1507550643,ok,NA
screening,1,candidate_004,1,1,1,500,100,225,0,0,TRUE,TRUE,193.38,794659114,ok,NA
screening,1,candidate_005,1,1,1,500,100,275,1.23,0,FALSE,TRUE,236.39,1084459063,ok,NA
screening,1,candidate_006,1,1,1,500,100,254,1.12,0,FALSE,TRUE,220.19999999999982,447383268,ok,NA
screening,1,candidate_007,1,1,1,500,100,276,0.63,0,FALSE,TRUE,237.25,672286332,ok,NA
screening,1,candidate_008,1,1,1,500,100,215,1.68,0,FALSE,TRUE,186.01,1473678031,ok,NA
screening,1,candidate_001,1,2,1,500,100,500,0,0,TRUE,FALSE,425.4100000000001,697951849,ok,NA
screening,1,candidate_002,1,2,1,500,100,268,0,0,TRUE,TRUE,228.82999999999993,52822484,ok,NA
screening,1,candidate_003,1,2,1,500,100,296,0,0.02,TRUE,TRUE,253.63999999999987,1151115411,ok,NA
screening,1,candidate_004,1,2,1,500,100,235,0,0.01,TRUE,TRUE,202.0600000000004,1521252653,ok,NA
screening,1,candidate_005,1,2,1,500,100,351,0.22,0,FALSE,TRUE,301.6399999999999,1713238360,ok,NA
screening,1,candidate_006,1,2,1,500,100,292,0.22,0.01,FALSE,TRUE,251.15999999999985,1610865948,ok,NA
screening,1,candidate_007,1,2,1,500,100,299,0.03,0,FALSE,TRUE,255.87000000000035,1719220656,ok,NA
screening,1,candidate_008,1,2,1,500,100,249,0.8,0.76,FALSE,TRUE,214.4000000000001,2052675864,ok,NA
screening,1,candidate_001,1,3,1,500,100,383,0,0.01,TRUE,TRUE,327.71000000000004,1342058255,ok,NA
screening,1,candidate_002,1,3,1,500,100,240,0,0.01,TRUE,TRUE,206,35910250,ok,NA
screening,1,candidate_003,1,3,1,500,100,360,0,0,TRUE,TRUE,307.96000000000004,1350102261,ok,NA
screening,1,candidate_004,1,3,1,500,100,275,0,0.01,TRUE,TRUE,235.84000000000015,355915494,ok,NA
screening,1,candidate_005,1,3,1,500,100,284,1.16,0,FALSE,TRUE,243.8099999999995,386122903,ok,NA
screening,1,candidate_006,1,3,1,500,100,253,0.38,0,FALSE,TRUE,216.46000000000004,201981318,ok,NA
screening,1,candidate_007,1,3,1,500,100,317,0.58,0,FALSE,TRUE,273.6399999999994,662514751,ok,NA
screening,1,candidate_008,1,3,1,500,100,317,0.29,0.01,FALSE,TRUE,273.96999999999935,1416569473,ok,NA
screening,2,candidate_001,1,1,1,1000,100,629,0,0.01,TRUE,TRUE,535.1999999999998,870878574,ok,NA
