calibration_stage,budget_order,candidate_id,repeat_id,fold_id,attempt,n_iter_budget,n_sampling,epochs_run,linear_trend_slope,median_diff,converged,early_stopping_triggered,runtime_seconds,fit_seed,fit_status,error_message
screening,1,candidate_001,1,1,1,500,100,223,0,0.01,TRUE,TRUE,7.5,870878574,ok,NA
screening,1,candidate_002,1,1,1,500,100,252,0,0.01,TRUE,TRUE,8.030000000000001,1256863007,ok,NA
screening,1,candidate_003,1,1,1,500,100,334,0,0.03,TRUE,TRUE,10.629999999999995,1507550643,ok,NA
screening,1,candidate_004,1,1,1,500,100,351,0,0.02,TRUE,TRUE,11.740000000000002,794659114,ok,NA
screening,1,candidate_005,1,1,1,500,100,265,0.01,0.04,FALSE,TRUE,9,1084459063,ok,NA
screening,1,candidate_006,1,1,1,500,100,189,0,0.01,TRUE,TRUE,6.829999999999998,447383268,ok,NA
screening,1,candidate_007,1,1,1,500,100,381,0,0.01,TRUE,TRUE,14.040000000000006,672286332,ok,NA
screening,1,candidate_008,1,1,1,500,100,216,0.01,0.03,FALSE,TRUE,8.219999999999999,1473678031,ok,NA
screening,1,candidate_001,1,2,1,500,100,256,0,0.01,TRUE,TRUE,7.789999999999992,697951849,ok,NA
screening,1,candidate_002,1,2,1,500,100,370,0,0,TRUE,TRUE,11.539999999999992,52822484,ok,NA
screening,1,candidate_003,1,2,1,500,100,370,0,0.02,TRUE,TRUE,11.61,1151115411,ok,NA
screening,1,candidate_004,1,2,1,500,100,298,0,0,TRUE,TRUE,10.409999999999997,1521252653,ok,NA
screening,1,candidate_005,1,2,1,500,100,218,0,0.02,TRUE,TRUE,7.139999999999986,1713238360,ok,NA
screening,1,candidate_006,1,2,1,500,100,240,0,0.01,TRUE,TRUE,8.810000000000002,1610865948,ok,NA
screening,1,candidate_007,1,2,1,500,100,194,0,0.01,TRUE,TRUE,7.450000000000017,1719220656,ok,NA
screening,1,candidate_008,1,2,1,500,100,287,0,0.01,TRUE,TRUE,11.189999999999998,2052675864,ok,NA
screening,1,candidate_001,1,3,1,500,100,299,0,0,TRUE,TRUE,8.710000000000008,1342058255,ok,NA
screening,1,candidate_002,1,3,1,500,100,224,0,0.04,TRUE,TRUE,6.9599999999999795,35910250,ok,NA
screening,1,candidate_003,1,3,1,500,100,327,0,0.01,TRUE,TRUE,10.969999999999999,1350102261,ok,NA
screening,1,candidate_004,1,3,1,500,100,244,0,0.02,TRUE,TRUE,8.75,355915494,ok,NA
screening,1,candidate_005,1,3,1,500,100,232,0,0.04,TRUE,TRUE,7.780000000000001,386122903,ok,NA
screening,1,candidate_006,1,3,1,500,100,263,0,0.05,TRUE,TRUE,10.110000000000014,201981318,ok,NA
screening,1,candidate_007,1,3,1,500,100,216,0,0,TRUE,TRUE,8.289999999999992,662514751,ok,NA
screening,1,candidate_008,1,3,1,500,100,336,0,0.03,TRUE,TRUE,14.04000000000002,1416569473,ok,NA
screening,2,candidate_001,1,1,1,1000,100,589,0,0,TRUE,TRUE,17.860000000000014,870878574,ok,NA
