calibration_stage,budget_order,candidate_id,repeat_id,fold_id,attempt,n_iter_budget,n_sampling,epochs_run,linear_trend_slope,median_diff,converged,early_stopping_triggered,runtime_seconds,fit_seed,fit_status,error_message
screening,1,candidate_001,1,1,1,500,100,318,0,0.02,TRUE,TRUE,16.43,870878574,ok,NA
screening,1,candidate_002,1,1,1,500,100,369,0,0.01,TRUE,TRUE,18.25,1256863007,ok,NA
screening,1,candidate_003,1,1,1,500,100,275,0,0.03,TRUE,TRUE,13.690000000000005,1507550643,ok,NA
screening,1,candidate_004,1,1,1,500,100,319,0,0.01,TRUE,TRUE,16.060000000000002,794659114,ok,NA
screening,1,candidate_005,1,1,1,500,100,462,0,0.5,TRUE,TRUE,23.239999999999995,1084459063,ok,NA
screening,1,candidate_006,1,1,1,500,100,337,0,0.05,TRUE,TRUE,17.540000000000006,447383268,ok,NA
screening,1,candidate_007,1,1,1,500,100,258,0.03,0.09,FALSE,TRUE,13.5,672286332,ok,NA
screening,1,candidate_008,1,1,1,500,100,241,0,0.35,TRUE,TRUE,12.810000000000002,1473678031,ok,NA
screening,1,candidate_001,1,2,1,500,100,324,0,0.02,TRUE,TRUE,15.879999999999995,697951849,ok,NA
screening,1,candidate_002,1,2,1,500,100,384,0,0.01,TRUE,TRUE,18.95999999999998,52822484,ok,NA
screening,1,candidate_003,1,2,1,500,100,309,0,0,TRUE,TRUE,15.310000000000002,1151115411,ok,NA
screening,1,candidate_004,1,2,1,500,100,500,0,0.04,TRUE,FALSE,25.069999999999993,1521252653,ok,NA
screening,1,candidate_005,1,2,1,500,100,402,0,0.21,TRUE,TRUE,20.419999999999987,1713238360,ok,NA
screening,1,candidate_006,1,2,1,500,100,326,0.02,0.87,FALSE,TRUE,16.939999999999998,1610865948,ok,NA
screening,1,candidate_007,1,2,1,500,100,264,0.01,0.1,FALSE,TRUE,13.760000000000048,1719220656,ok,NA
screening,1,candidate_008,1,2,1,500,100,228,0.02,0.2,FALSE,TRUE,12.230000000000018,2052675864,ok,NA
screening,1,candidate_001,1,3,1,500,100,363,0,0.03,TRUE,TRUE,17.670000000000016,1342058255,ok,NA
screening,1,candidate_002,1,3,1,500,100,325,0,0.02,TRUE,TRUE,16.110000000000014,35910250,ok,NA
screening,1,candidate_003,1,3,1,500,100,399,0,0,TRUE,TRUE,19.810000000000002,1350102261,ok,NA
screening,1,candidate_004,1,3,1,500,100,337,0,0.03,TRUE,TRUE,17.019999999999982,355915494,ok,NA
screening,1,candidate_005,1,3,1,500,100,371,0.01,0.91,FALSE,TRUE,18.819999999999993,386122903,ok,NA
screening,1,candidate_006,1,3,1,500,100,238,0.02,0.01,FALSE,TRUE,12.420000000000016,201981318,ok,NA
screening,1,candidate_007,1,3,1,500,100,196,0,0.36,TRUE,TRUE,10.319999999999993,662514751,ok,NA
screening,1,candidate_008,1,3,1,500,100,213,0.01,1.14,FALSE,TRUE,11.460000000000036,1416569473,ok,NA
screening,2,candidate_001,1,1,1,1000,100,546,0,0.01,TRUE,TRUE,26.310000000000002,870878574,ok,NA
screening,2,candidate_002,1,1,1,1000,100,469,0,0.01,TRUE,TRUE,23.230000000000018,1256863007,ok,NA
screening,2,candidate_003,1,1,1,1000,100,516,0,0.01,TRUE,TRUE,25.71999999999997,1507550643,ok,NA
screening,2,candidate_004,1,1,1,1000,100,419,0,0.01,TRUE,TRUE,21.150000000000034,794659114,ok,NA
screening,2,candidate_005,1,1,1,1000,100,562,0,0.49,TRUE,TRUE,28.219999999999914,1084459063,ok,NA
screening,2,candidate_006,1,1,1,1000,100,437,0.01,0.46,FALSE,TRUE,22.409999999999968,447383268,ok,NA
screening,2,candidate_007,1,1,1,1000,100,358,0.01,1.12,FALSE,TRUE,18.520000000000095,672286332,ok,NA
screening,2,candidate_008,1,1,1,1000,100,509,0,0.89,TRUE,TRUE,26.889999999999986,1473678031,ok,NA
screening,2,candidate_001,1,2,1,1000,100,768,0,0.02,TRUE,TRUE,36.98000000000002,697951849,ok,NA
screening,2,candidate_002,1,2,1,1000,100,484,0,0.03,TRUE,TRUE,23.83000000000004,52822484,ok,NA
screening,2,candidate_003,1,2,1,1000,100,409,0,0.01,TRUE,TRUE,20.42999999999995,1151115411,ok,NA
screening,2,candidate_004,1,2,1,1000,100,642,0,0.02,TRUE,TRUE,32.14999999999998,1521252653,ok,NA
screening,2,candidate_005,1,2,1,1000,100,502,0,0.19,TRUE,TRUE,25.25999999999999,1713238360,ok,NA
