calibration_stage,budget_order,candidate_id,repeat_id,fold_id,attempt,n_iter_budget,n_sampling,epochs_run,linear_trend_slope,median_diff,converged,early_stopping_triggered,runtime_seconds,fit_seed,fit_status,error_message
screening,1,candidate_001,1,1,1,500,100,218,0,0,TRUE,TRUE,9.780000000000001,870878574,ok,NA
screening,1,candidate_002,1,1,1,500,100,330,0,0,TRUE,TRUE,9.699999999999996,1256863007,ok,NA
screening,1,candidate_003,1,1,1,500,100,326,0,0,TRUE,TRUE,9.789999999999992,1507550643,ok,NA
screening,1,candidate_004,1,1,1,500,100,199,0,0,TRUE,TRUE,6.61999999999999,794659114,ok,NA
screening,1,candidate_005,1,1,1,500,100,222,0,0,TRUE,TRUE,7.1200000000000045,1084459063,ok,NA
screening,1,candidate_006,1,1,1,500,100,299,0,0,TRUE,TRUE,10.349999999999994,447383268,ok,NA
screening,1,candidate_007,1,1,1,500,100,167,0,0,TRUE,TRUE,6.219999999999999,672286332,ok,NA
screening,1,candidate_008,1,1,1,500,100,205,0,0,TRUE,TRUE,8.080000000000013,1473678031,ok,NA
screening,1,candidate_001,1,2,1,500,100,411,0,0,TRUE,TRUE,10.450000000000003,697951849,ok,NA
screening,1,candidate_002,1,2,1,500,100,158,0,0,TRUE,TRUE,4.5800000000000125,52822484,ok,NA
screening,1,candidate_003,1,2,1,500,100,220,0,0,TRUE,TRUE,6.509999999999991,1151115411,ok,NA
screening,1,candidate_004,1,2,1,500,100,199,0,0,TRUE,TRUE,6.599999999999994,1521252653,ok,NA
screening,1,candidate_005,1,2,1,500,100,202,0,0,TRUE,TRUE,6.289999999999992,1713238360,ok,NA
screening,1,candidate_006,1,2,1,500,100,220,0,0,TRUE,TRUE,7.509999999999991,1610865948,ok,NA
screening,1,candidate_007,1,2,1,500,100,192,0,0,TRUE,TRUE,6.5400000000000205,1719220656,ok,NA
screening,1,candidate_008,1,2,1,500,100,151,0,0,TRUE,TRUE,5.6299999999999955,2052675864,ok,NA
screening,1,candidate_001,1,3,1,500,100,187,0,0,TRUE,TRUE,4.930000000000007,1342058255,ok,NA
screening,1,candidate_002,1,3,1,500,100,167,0,0,TRUE,TRUE,5.030000000000001,35910250,ok,NA
screening,1,candidate_003,1,3,1,500,100,252,0,0,TRUE,TRUE,7.680000000000007,1350102261,ok,NA
screening,1,candidate_004,1,3,1,500,100,247,0,0,TRUE,TRUE,8.110000000000014,355915494,ok,NA
screening,1,candidate_005,1,3,1,500,100,204,0,0,TRUE,TRUE,6.449999999999989,386122903,ok,NA
screening,1,candidate_006,1,3,1,500,100,297,0,0,TRUE,TRUE,9.730000000000018,201981318,ok,NA
screening,1,candidate_007,1,3,1,500,100,245,0,0,TRUE,TRUE,9.170000000000016,662514751,ok,NA
screening,1,candidate_008,1,3,1,500,100,166,0,0,TRUE,TRUE,6.389999999999986,1416569473,ok,NA
screening,2,candidate_001,1,1,1,1000,100,318,0,0,TRUE,TRUE,8.419999999999987,870878574,ok,NA
screening,2,candidate_002,1,1,1,1000,100,430,0,0,TRUE,TRUE,11.879999999999995,1256863007,ok,NA
screening,2,candidate_003,1,1,1,1000,100,426,0,0,TRUE,TRUE,12.73999999999998,1507550643,ok,NA
screening,2,candidate_004,1,1,1,1000,100,411,0,0,TRUE,TRUE,12.359999999999957,794659114,ok,NA
screening,2,candidate_005,1,1,1,1000,100,322,0,0,TRUE,TRUE,9.949999999999989,1084459063,ok,NA
screening,2,candidate_006,1,1,1,1000,100,570,0,0,TRUE,TRUE,19.21999999999997,447383268,ok,NA
screening,2,candidate_007,1,1,1,1000,100,459,0,0,TRUE,TRUE,16.49000000000001,672286332,ok,NA
screening,2,candidate_008,1,1,1,1000,100,305,0,0,TRUE,TRUE,11.450000000000045,1473678031,ok,NA
