calibration_stage,budget_order,candidate_id,repeat_id,fold_id,attempt,n_iter_budget,n_sampling,epochs_run,linear_trend_slope,median_diff,converged,early_stopping_triggered,runtime_seconds,fit_seed,fit_status,error_message
screening,1,candidate_001,1,1,1,500,100,288,0,0,TRUE,TRUE,36.980000000000004,870878574,ok,NA
screening,1,candidate_002,1,1,1,500,100,255,0,0,TRUE,TRUE,31.96,1256863007,ok,NA
screening,1,candidate_003,1,1,1,500,100,195,0,0.01,TRUE,TRUE,25.299999999999997,1507550643,ok,NA
screening,1,candidate_004,1,1,1,500,100,178,0,0.01,TRUE,TRUE,23.03,794659114,ok,NA
screening,1,candidate_005,1,1,1,500,100,202,0,0.08,TRUE,TRUE,26.150000000000006,1084459063,ok,NA
screening,1,candidate_006,1,1,1,500,100,246,0,0.07,TRUE,TRUE,31.70999999999998,447383268,ok,NA
screening,1,candidate_007,1,1,1,500,100,380,0,0,TRUE,TRUE,48.68000000000001,672286332,ok,NA
screening,1,candidate_008,1,1,1,500,100,293,0,0.06,TRUE,TRUE,37.97999999999999,1473678031,ok,NA
screening,1,candidate_001,1,2,1,500,100,255,0,0.01,TRUE,TRUE,32.06,697951849,ok,NA
screening,1,candidate_002,1,2,1,500,100,285,0,0,TRUE,TRUE,35.93000000000001,52822484,ok,NA
screening,1,candidate_003,1,2,1,500,100,205,0,0,TRUE,TRUE,26.78000000000003,1151115411,ok,NA
screening,1,candidate_004,1,2,1,500,100,341,0,0,TRUE,TRUE,43.69999999999999,1521252653,ok,NA
screening,1,candidate_005,1,2,1,500,100,208,0,0.12,TRUE,TRUE,26.909999999999968,1713238360,ok,NA
screening,1,candidate_006,1,2,1,500,100,213,0,0.01,TRUE,TRUE,27.579999999999984,1610865948,ok,NA
screening,1,candidate_007,1,2,1,500,100,222,0,0.1,TRUE,TRUE,29.010000000000048,1719220656,ok,NA
screening,1,candidate_008,1,2,1,500,100,172,0,0.06,TRUE,TRUE,23.08000000000004,2052675864,ok,NA
screening,1,candidate_001,1,3,1,500,100,248,0,0,TRUE,TRUE,32.17000000000007,1342058255,ok,NA
screening,1,candidate_002,1,3,1,500,100,287,0,0.01,TRUE,TRUE,36.47000000000003,35910250,ok,NA
screening,1,candidate_003,1,3,1,500,100,275,0,0.01,TRUE,TRUE,34.6400000000001,1350102261,ok,NA
screening,1,candidate_004,1,3,1,500,100,204,0,0,TRUE,TRUE,26.019999999999982,355915494,ok,NA
screening,1,candidate_005,1,3,1,500,100,256,0,0.02,TRUE,TRUE,32.789999999999964,386122903,ok,NA
screening,1,candidate_006,1,3,1,500,100,188,0,0.08,TRUE,TRUE,23.799999999999955,201981318,ok,NA
screening,1,candidate_007,1,3,1,500,100,297,0,0.03,TRUE,TRUE,37.450000000000045,662514751,ok,NA
screening,1,candidate_008,1,3,1,500,100,311,0,0.07,TRUE,TRUE,39.379999999999995,1416569473,ok,NA
screening,2,candidate_001,1,1,1,1000,100,388,0,0.01,TRUE,TRUE,47.809999999999945,870878574,ok,NA
screening,2,candidate_002,1,1,1,1000,100,355,0,0.01,TRUE,TRUE,44.07999999999993,1256863007,ok,NA
screening,2,candidate_003,1,1,1,1000,100,473,0,0.01,TRUE,TRUE,58.559999999999945,1507550643,ok,NA
screening,2,candidate_004,1,1,1,1000,100,471,0,0,TRUE,TRUE,58.8599999999999,794659114,ok,NA
screening,2,candidate_005,1,1,1,1000,100,302,0,0.01,TRUE,TRUE,37.690000000000055,1084459063,ok,NA
screening,2,candidate_006,1,1,1,1000,100,346,0,0.05,TRUE,TRUE,43.909999999999854,447383268,ok,NA
screening,2,candidate_007,1,1,1,1000,100,480,0,0.01,TRUE,TRUE,60.5300000000002,672286332,ok,NA
screening,2,candidate_008,1,1,1,1000,100,393,0,0.07,TRUE,TRUE,49.72000000000003,1473678031,ok,NA
screening,2,candidate_001,1,2,1,1000,100,552,0,0.01,TRUE,TRUE,67.67000000000007,697951849,ok,NA
screening,2,candidate_002,1,2,1,1000,100,385,0,0.01,TRUE,TRUE,47.90000000000009,52822484,ok,NA
screening,2,candidate_003,1,2,1,1000,100,305,0,0,TRUE,TRUE,37.799999999999955,1151115411,ok,NA
screening,2,candidate_004,1,2,1,1000,100,441,0,0,TRUE,TRUE,54.91000000000008,1521252653,ok,NA
screening,2,candidate_005,1,2,1,1000,100,308,0,0.03,TRUE,TRUE,38.75999999999999,1713238360,ok,NA
screening,2,candidate_006,1,2,1,1000,100,313,0,0.07,TRUE,TRUE,39.299999999999955,1610865948,ok,NA
screening,2,candidate_007,1,2,1,1000,100,322,0,0.03,TRUE,TRUE,40.710000000000036,1719220656,ok,NA
screening,2,candidate_008,1,2,1,1000,100,388,0,0.04,TRUE,TRUE,49.190000000000055,2052675864,ok,NA
screening,2,candidate_001,1,3,1,1000,100,457,0,0,TRUE,TRUE,56.09999999999991,1342058255,ok,NA
screening,2,candidate_002,1,3,1,1000,100,499,0,0,TRUE,TRUE,61.809999999999945,35910250,ok,NA
screening,2,candidate_003,1,3,1,1000,100,375,0,0,TRUE,TRUE,46.73000000000002,1350102261,ok,NA
screening,2,candidate_004,1,3,1,1000,100,304,0,0,TRUE,TRUE,37.98000000000002,355915494,ok,NA
screening,2,candidate_005,1,3,1,1000,100,356,0,0.11,TRUE,TRUE,44.5,386122903,ok,NA
screening,2,candidate_006,1,3,1,1000,100,468,0,0.01,TRUE,TRUE,58.549999999999955,201981318,ok,NA
screening,2,candidate_007,1,3,1,1000,100,577,0,0.05,TRUE,TRUE,72.52999999999997,662514751,ok,NA
screening,2,candidate_008,1,3,1,1000,100,411,0,0.03,TRUE,TRUE,52.190000000000055,1416569473,ok,NA
confirmation,1,candidate_001,1,1,1,500,200,208,0,0,TRUE,TRUE,41.51000000000022,870878574,ok,NA
confirmation,1,candidate_003,1,1,1,500,200,219,0,0,TRUE,TRUE,44.40000000000009,1507550643,ok,NA
confirmation,1,candidate_001,1,2,1,500,200,255,0,0,TRUE,TRUE,51.07999999999993,697951849,ok,NA
confirmation,1,candidate_003,1,2,1,500,200,230,0,0,TRUE,TRUE,46.2800000000002,1151115411,ok,NA
confirmation,1,candidate_001,1,3,1,500,200,283,0,0,TRUE,TRUE,56.23000000000002,1342058255,ok,NA
confirmation,1,candidate_003,1,3,1,500,200,288,0,0,TRUE,TRUE,57.67000000000007,1350102261,ok,NA
confirmation,1,candidate_001,1,4,1,500,200,272,0,0.01,TRUE,TRUE,54.36000000000013,1265372349,ok,NA
confirmation,1,candidate_003,1,4,1,500,200,206,0,0.01,TRUE,TRUE,41.63999999999987,977713106,ok,NA
confirmation,1,candidate_001,1,5,1,500,200,234,0,0,TRUE,TRUE,46.820000000000164,715907924,ok,NA
