calibration_stage,budget_order,candidate_id,repeat_id,fold_id,attempt,n_iter_budget,n_sampling,epochs_run,linear_trend_slope,median_diff,converged,early_stopping_triggered,runtime_seconds,fit_seed,fit_status,error_message
screening,1,candidate_001,1,1,1,500,100,243,0,0,TRUE,TRUE,15.79,870878574,ok,NA
screening,1,candidate_002,1,1,1,500,100,214,0,0,TRUE,TRUE,14.899999999999999,1256863007,ok,NA
screening,1,candidate_003,1,1,1,500,100,272,0,0,TRUE,TRUE,18.860000000000007,1507550643,ok,NA
screening,1,candidate_004,1,1,1,500,100,238,0,0,TRUE,TRUE,16.78,794659114,ok,NA
screening,1,candidate_005,1,1,1,500,100,262,0,0,TRUE,TRUE,18.200000000000003,1084459063,ok,NA
screening,1,candidate_006,1,1,1,500,100,239,0,0,TRUE,TRUE,17.33,447383268,ok,NA
screening,1,candidate_007,1,1,1,500,100,195,0,0,TRUE,TRUE,14.139999999999986,672286332,ok,NA
screening,1,candidate_008,1,1,1,500,100,176,0,0,TRUE,TRUE,13.039999999999992,1473678031,ok,NA
screening,1,candidate_001,1,2,1,500,100,241,0,0,TRUE,TRUE,16.210000000000008,697951849,ok,NA
screening,1,candidate_002,1,2,1,500,100,188,0,0,TRUE,TRUE,13.050000000000011,52822484,ok,NA
screening,1,candidate_003,1,2,1,500,100,188,0,0,TRUE,TRUE,12.860000000000014,1151115411,ok,NA
screening,1,candidate_004,1,2,1,500,100,193,0,0,TRUE,TRUE,13.710000000000008,1521252653,ok,NA
screening,1,candidate_005,1,2,1,500,100,219,0,0,TRUE,TRUE,15.419999999999987,1713238360,ok,NA
screening,1,candidate_006,1,2,1,500,100,238,0,0,TRUE,TRUE,17.210000000000008,1610865948,ok,NA
screening,1,candidate_007,1,2,1,500,100,225,0,0,TRUE,TRUE,16.129999999999995,1719220656,ok,NA
screening,1,candidate_008,1,2,1,500,100,230,0,0,TRUE,TRUE,16.960000000000036,2052675864,ok,NA
screening,1,candidate_001,1,3,1,500,100,232,0,0,TRUE,TRUE,15.849999999999966,1342058255,ok,NA
screening,1,candidate_002,1,3,1,500,100,211,0,0,TRUE,TRUE,14.549999999999955,35910250,ok,NA
screening,1,candidate_003,1,3,1,500,100,213,0,0,TRUE,TRUE,15.019999999999982,1350102261,ok,NA
screening,1,candidate_004,1,3,1,500,100,232,0,0,TRUE,TRUE,16.409999999999968,355915494,ok,NA
screening,1,candidate_005,1,3,1,500,100,214,0,0,TRUE,TRUE,15,386122903,ok,NA
screening,1,candidate_006,1,3,1,500,100,192,0,0,TRUE,TRUE,14.120000000000005,201981318,ok,NA
