calibration_stage,budget_order,candidate_id,repeat_id,fold_id,attempt,n_iter_budget,n_sampling,epochs_run,linear_trend_slope,median_diff,converged,early_stopping_triggered,runtime_seconds,fit_seed,fit_status,error_message
screening,1,candidate_001,1,1,1,500,100,349,0,0.02,TRUE,TRUE,102.32,870878574,ok,NA
screening,1,candidate_002,1,1,1,500,100,226,0,0.02,TRUE,TRUE,61.379999999999995,1256863007,ok,NA
screening,1,candidate_003,1,1,1,500,100,215,0,0.02,TRUE,TRUE,58.66,1507550643,ok,NA
screening,1,candidate_004,1,1,1,500,100,210,0,0,TRUE,TRUE,57.879999999999995,794659114,ok,NA
screening,1,candidate_005,1,1,1,500,100,305,0.02,0,FALSE,TRUE,84.36000000000001,1084459063,ok,NA
screening,1,candidate_006,1,1,1,500,100,397,0.12,0,FALSE,TRUE,109.37,447383268,ok,NA
screening,1,candidate_007,1,1,1,500,100,271,0.15,0.01,FALSE,TRUE,75,672286332,ok,NA
screening,1,candidate_008,1,1,1,500,100,357,0.13,0,FALSE,TRUE,99.29000000000008,1473678031,ok,NA
screening,1,candidate_001,1,2,1,500,100,500,0,0.01,TRUE,FALSE,136.87,697951849,ok,NA
screening,1,candidate_002,1,2,1,500,100,301,0,0.01,TRUE,TRUE,84.38,52822484,ok,NA
screening,1,candidate_003,1,2,1,500,100,233,0,0.01,TRUE,TRUE,66.23000000000002,1151115411,ok,NA
screening,1,candidate_004,1,2,1,500,100,361,0,0.04,TRUE,TRUE,102.66000000000008,1521252653,ok,NA
screening,1,candidate_005,1,2,1,500,100,304,0.03,0,FALSE,TRUE,90.50999999999999,1713238360,ok,NA
screening,1,candidate_006,1,2,1,500,100,206,0.05,0,FALSE,TRUE,61.580000000000155,1610865948,ok,NA
screening,1,candidate_007,1,2,1,500,100,424,0.13,0,FALSE,TRUE,125.88999999999987,1719220656,ok,NA
screening,1,candidate_008,1,2,1,500,100,231,0.05,0,FALSE,TRUE,69.81000000000017,2052675864,ok,NA
screening,1,candidate_001,1,3,1,500,100,287,0,0,TRUE,TRUE,84.24000000000001,1342058255,ok,NA
screening,1,candidate_002,1,3,1,500,100,347,0,0,TRUE,TRUE,103.29999999999995,35910250,ok,NA
screening,1,candidate_003,1,3,1,500,100,273,0,0.01,TRUE,TRUE,80.47000000000003,1350102261,ok,NA
screening,1,candidate_004,1,3,1,500,100,337,0,0.03,TRUE,TRUE,99.86999999999989,355915494,ok,NA
screening,1,candidate_005,1,3,1,500,100,294,0.29,0,FALSE,TRUE,87.86000000000013,386122903,ok,NA
screening,1,candidate_006,1,3,1,500,100,235,0.28,0.32,FALSE,TRUE,69.48000000000002,201981318,ok,NA
screening,1,candidate_007,1,3,1,500,100,292,0.15,0,FALSE,TRUE,82.38000000000011,662514751,ok,NA
screening,1,candidate_008,1,3,1,500,100,247,0.06,0.01,FALSE,TRUE,73.61000000000013,1416569473,ok,NA
screening,2,candidate_001,1,1,1,1000,100,618,0,0.01,TRUE,TRUE,172.5,870878574,ok,NA
screening,2,candidate_002,1,1,1,1000,100,456,0,0.02,TRUE,TRUE,123.02999999999975,1256863007,ok,NA
screening,2,candidate_003,1,1,1,1000,100,315,0,0.01,TRUE,TRUE,85.55999999999995,1507550643,ok,NA
screening,2,candidate_004,1,1,1,1000,100,310,0,0,TRUE,TRUE,84.26999999999998,794659114,ok,NA
