calibration_stage,budget_order,candidate_id,repeat_id,fold_id,attempt,n_iter_budget,n_sampling,epochs_run,linear_trend_slope,median_diff,converged,early_stopping_triggered,runtime_seconds,fit_seed,fit_status,error_message
screening,1,candidate_001,1,1,1,500,100,279,0,0,TRUE,TRUE,21.720000000000002,870878574,ok,NA
screening,1,candidate_002,1,1,1,500,100,402,0,0,TRUE,TRUE,30.11999999999999,1256863007,ok,NA
screening,1,candidate_003,1,1,1,500,100,281,0,0,TRUE,TRUE,20.299999999999997,1507550643,ok,NA
screening,1,candidate_004,1,1,1,500,100,311,0,0,TRUE,TRUE,23.080000000000013,794659114,ok,NA
screening,1,candidate_005,1,1,1,500,100,345,0,0,TRUE,TRUE,25.19999999999999,1084459063,ok,NA
screening,1,candidate_006,1,1,1,500,100,273,0,0,TRUE,TRUE,20.480000000000018,447383268,ok,NA
screening,1,candidate_007,1,1,1,500,100,242,0,0,TRUE,TRUE,18.150000000000006,672286332,ok,NA
screening,1,candidate_008,1,1,1,500,100,246,0,0,TRUE,TRUE,18.72,1473678031,ok,NA
screening,1,candidate_001,1,2,1,500,100,287,0,0,TRUE,TRUE,19.419999999999987,697951849,ok,NA
screening,1,candidate_002,1,2,1,500,100,298,0,0,TRUE,TRUE,22.310000000000002,52822484,ok,NA
screening,1,candidate_003,1,2,1,500,100,363,0,0,TRUE,TRUE,28.189999999999998,1151115411,ok,NA
screening,1,candidate_004,1,2,1,500,100,242,0,0,TRUE,TRUE,20.94999999999999,1521252653,ok,NA
screening,1,candidate_005,1,2,1,500,100,302,0,0,TRUE,TRUE,21.350000000000023,1713238360,ok,NA
screening,1,candidate_006,1,2,1,500,100,318,0,0,TRUE,TRUE,23.039999999999964,1610865948,ok,NA
screening,1,candidate_007,1,2,1,500,100,346,0,0,TRUE,TRUE,26.25,1719220656,ok,NA
screening,1,candidate_008,1,2,1,500,100,221,0,0,TRUE,TRUE,18.16999999999996,2052675864,ok,NA
screening,1,candidate_001,1,3,1,500,100,409,0,0,TRUE,TRUE,29.360000000000014,1342058255,ok,NA
screening,1,candidate_002,1,3,1,500,100,336,0,0,TRUE,TRUE,24.370000000000005,35910250,ok,NA
screening,1,candidate_003,1,3,1,500,100,279,0,0,TRUE,TRUE,20.099999999999966,1350102261,ok,NA
screening,1,candidate_004,1,3,1,500,100,202,0,0,TRUE,TRUE,15.550000000000011,355915494,ok,NA
screening,1,candidate_005,1,3,1,500,100,417,0,0,TRUE,TRUE,30.579999999999984,386122903,ok,NA
screening,1,candidate_006,1,3,1,500,100,297,0,0,TRUE,TRUE,22.329999999999984,201981318,ok,NA
screening,1,candidate_007,1,3,1,500,100,280,0,0,TRUE,TRUE,20.840000000000032,662514751,ok,NA
screening,1,candidate_008,1,3,1,500,100,261,0,0,TRUE,TRUE,19.819999999999936,1416569473,ok,NA
screening,2,candidate_001,1,1,1,1000,100,379,0,0,TRUE,TRUE,26.470000000000027,870878574,ok,NA
screening,2,candidate_002,1,1,1,1000,100,502,0,0,TRUE,TRUE,34.860000000000014,1256863007,ok,NA
screening,2,candidate_003,1,1,1,1000,100,536,0,0,TRUE,TRUE,37.81000000000006,1507550643,ok,NA
screening,2,candidate_004,1,1,1,1000,100,591,0,0,TRUE,TRUE,48.360000000000014,794659114,ok,NA
screening,2,candidate_005,1,1,1,1000,100,621,0,0,TRUE,TRUE,49.280000000000086,1084459063,ok,NA
screening,2,candidate_006,1,1,1,1000,100,524,0,0,TRUE,TRUE,42.10000000000002,447383268,ok,NA
screening,2,candidate_007,1,1,1,1000,100,500,0,0,TRUE,TRUE,40.97000000000003,672286332,ok,NA
screening,2,candidate_008,1,1,1,1000,100,346,0,0,TRUE,TRUE,27.66999999999996,1473678031,ok,NA
screening,2,candidate_001,1,2,1,1000,100,809,0,0,TRUE,TRUE,60.57000000000005,697951849,ok,NA
screening,2,candidate_002,1,2,1,1000,100,398,0,0,TRUE,TRUE,31.5,52822484,ok,NA
screening,2,candidate_003,1,2,1,1000,100,625,0,0,TRUE,TRUE,52.260000000000105,1151115411,ok,NA
screening,2,candidate_004,1,2,1,1000,100,342,0,0,TRUE,TRUE,24.689999999999827,1521252653,ok,NA
screening,2,candidate_005,1,2,1,1000,100,562,0,0,TRUE,TRUE,42.1400000000001,1713238360,ok,NA
screening,2,candidate_006,1,2,1,1000,100,418,0,0,TRUE,TRUE,32.98000000000002,1610865948,ok,NA
screening,2,candidate_007,1,2,1,1000,100,446,0,0,TRUE,TRUE,36.16000000000008,1719220656,ok,NA
screening,2,candidate_008,1,2,1,1000,100,494,0,0,TRUE,TRUE,42.8599999999999,2052675864,ok,NA
screening,2,candidate_001,1,3,1,1000,100,509,0,0,TRUE,TRUE,36.52999999999997,1342058255,ok,NA
screening,2,candidate_002,1,3,1,1000,100,572,0,0,TRUE,TRUE,41.00999999999999,35910250,ok,NA
screening,2,candidate_003,1,3,1,1000,100,379,0,0,TRUE,TRUE,26.86999999999989,1350102261,ok,NA
screening,2,candidate_004,1,3,1,1000,100,572,0,0,TRUE,TRUE,41.789999999999964,355915494,ok,NA
screening,2,candidate_005,1,3,1,1000,100,517,0,0,TRUE,TRUE,38.24000000000001,386122903,ok,NA
screening,2,candidate_006,1,3,1,1000,100,397,0,0,TRUE,TRUE,28.829999999999927,201981318,ok,NA
screening,2,candidate_007,1,3,1,1000,100,543,0,0,TRUE,TRUE,39.88000000000011,662514751,ok,NA
screening,2,candidate_008,1,3,1,1000,100,361,0,0,TRUE,TRUE,27.5,1416569473,ok,NA
confirmation,1,candidate_001,1,1,1,500,200,360,0,0,TRUE,TRUE,34.069999999999936,870878574,ok,NA
confirmation,1,candidate_002,1,1,1,500,200,272,0,0,TRUE,TRUE,26.600000000000136,1256863007,ok,NA
confirmation,1,candidate_001,1,2,1,500,200,296,0,0,TRUE,TRUE,28.960000000000036,697951849,ok,NA
confirmation,1,candidate_002,1,2,1,500,200,364,0,0,TRUE,TRUE,36.710000000000036,52822484,ok,NA
confirmation,1,candidate_001,1,3,1,500,200,274,0,0,TRUE,TRUE,24.929999999999836,1342058255,ok,NA
confirmation,1,candidate_002,1,3,1,500,200,405,0,0,TRUE,TRUE,37.15000000000009,35910250,ok,NA
