calibration_stage,budget_order,candidate_id,repeat_id,fold_id,attempt,n_iter_budget,n_sampling,epochs_run,linear_trend_slope,median_diff,converged,early_stopping_triggered,runtime_seconds,fit_seed,fit_status,error_message
screening,1,candidate_001,1,1,1,500,100,384,0,0,TRUE,TRUE,47.300000000000004,870878574,ok,NA
screening,1,candidate_002,1,1,1,500,100,410,0,0,TRUE,TRUE,49.24000000000001,1256863007,ok,NA
screening,1,candidate_003,1,1,1,500,100,269,0,0,TRUE,TRUE,31.61999999999999,1507550643,ok,NA
screening,1,candidate_004,1,1,1,500,100,324,0,0,TRUE,TRUE,38.889999999999986,794659114,ok,NA
screening,1,candidate_005,1,1,1,500,100,340,0,0,TRUE,TRUE,40.379999999999995,1084459063,ok,NA
screening,1,candidate_006,1,1,1,500,100,254,0,0.05,TRUE,TRUE,29.809999999999974,447383268,ok,NA
screening,1,candidate_007,1,1,1,500,100,234,0,0.02,TRUE,TRUE,27.629999999999995,672286332,ok,NA
screening,1,candidate_008,1,1,1,500,100,238,0,0.03,TRUE,TRUE,30.96999999999997,1473678031,ok,NA
screening,1,candidate_001,1,2,1,500,100,306,0,0,TRUE,TRUE,38.5,697951849,ok,NA
screening,1,candidate_002,1,2,1,500,100,411,0,0,TRUE,TRUE,47.829999999999984,52822484,ok,NA
screening,1,candidate_003,1,2,1,500,100,319,0,0.01,TRUE,TRUE,38.77999999999997,1151115411,ok,NA
screening,1,candidate_004,1,2,1,500,100,300,0,0,TRUE,TRUE,37.31,1521252653,ok,NA
screening,1,candidate_005,1,2,1,500,100,429,0,0,TRUE,TRUE,54.460000000000036,1713238360,ok,NA
screening,1,candidate_006,1,2,1,500,100,295,0,0,TRUE,TRUE,35.289999999999964,1610865948,ok,NA
screening,1,candidate_007,1,2,1,500,100,250,0,0.01,TRUE,TRUE,30.360000000000014,1719220656,ok,NA
screening,1,candidate_008,1,2,1,500,100,276,0,0,TRUE,TRUE,34.190000000000055,2052675864,ok,NA
