calibration_stage,budget_order,candidate_id,repeat_id,fold_id,attempt,n_iter_budget,n_sampling,epochs_run,linear_trend_slope,median_diff,converged,early_stopping_triggered,runtime_seconds,fit_seed,fit_status,error_message
screening,1,candidate_001,1,1,1,500,100,395,0,0,TRUE,TRUE,10.04,870878574,ok,NA
screening,1,candidate_002,1,1,1,500,100,296,0,0,TRUE,TRUE,8.040000000000003,1256863007,ok,NA
screening,1,candidate_003,1,1,1,500,100,372,0,0.01,TRUE,TRUE,10.25,1507550643,ok,NA
screening,1,candidate_004,1,1,1,500,100,285,0,0,TRUE,TRUE,8.439999999999998,794659114,ok,NA
screening,1,candidate_005,1,1,1,500,100,235,0,0,TRUE,TRUE,6.970000000000006,1084459063,ok,NA
screening,1,candidate_006,1,1,1,500,100,314,0,0,TRUE,TRUE,7.969999999999999,447383268,ok,NA
screening,1,candidate_007,1,1,1,500,100,248,0,0,TRUE,TRUE,6.409999999999997,672286332,ok,NA
screening,1,candidate_008,1,1,1,500,100,155,0,0,TRUE,TRUE,4.460000000000008,1473678031,ok,NA
screening,1,candidate_001,1,2,1,500,100,387,0,0,TRUE,TRUE,7.22999999999999,697951849,ok,NA
screening,1,candidate_002,1,2,1,500,100,232,0,0.01,TRUE,TRUE,5.299999999999997,52822484,ok,NA
screening,1,candidate_003,1,2,1,500,100,249,0,0,TRUE,TRUE,7.109999999999999,1151115411,ok,NA
screening,1,candidate_004,1,2,1,500,100,289,0,0,TRUE,TRUE,9.11,1521252653,ok,NA
screening,1,candidate_005,1,2,1,500,100,410,0,0,TRUE,TRUE,12.469999999999999,1713238360,ok,NA
screening,1,candidate_006,1,2,1,500,100,368,0,0,TRUE,TRUE,11.199999999999989,1610865948,ok,NA
screening,1,candidate_007,1,2,1,500,100,185,0,0,TRUE,TRUE,6.140000000000015,1719220656,ok,NA
screening,1,candidate_008,1,2,1,500,100,238,0,0,TRUE,TRUE,7.890000000000015,2052675864,ok,NA
screening,1,candidate_001,1,3,1,500,100,254,0,0,TRUE,TRUE,5.9199999999999875,1342058255,ok,NA
screening,1,candidate_002,1,3,1,500,100,263,0,0,TRUE,TRUE,7.110000000000014,35910250,ok,NA
screening,1,candidate_003,1,3,1,500,100,296,0,0.01,TRUE,TRUE,8.009999999999991,1350102261,ok,NA
screening,1,candidate_004,1,3,1,500,100,216,0,0,TRUE,TRUE,6.650000000000006,355915494,ok,NA
screening,1,candidate_005,1,3,1,500,100,219,0,0,TRUE,TRUE,6.0800000000000125,386122903,ok,NA
screening,1,candidate_006,1,3,1,500,100,299,0,0,TRUE,TRUE,7.449999999999989,201981318,ok,NA
screening,1,candidate_007,1,3,1,500,100,195,0,0,TRUE,TRUE,5.139999999999986,662514751,ok,NA
screening,1,candidate_008,1,3,1,500,100,214,0,0,TRUE,TRUE,6.009999999999991,1416569473,ok,NA
screening,2,candidate_001,1,1,1,1000,100,609,0,0,TRUE,TRUE,11.549999999999983,870878574,ok,NA
screening,2,candidate_002,1,1,1,1000,100,396,0,0,TRUE,TRUE,11.189999999999998,1256863007,ok,NA
screening,2,candidate_003,1,1,1,1000,100,472,0,0,TRUE,TRUE,13.469999999999999,1507550643,ok,NA
screening,2,candidate_004,1,1,1,1000,100,385,0,0,TRUE,TRUE,12.01000000000002,794659114,ok,NA
screening,2,candidate_005,1,1,1,1000,100,335,0,0,TRUE,TRUE,10.129999999999995,1084459063,ok,NA
screening,2,candidate_006,1,1,1,1000,100,414,0,0,TRUE,TRUE,13.770000000000039,447383268,ok,NA
screening,2,candidate_007,1,1,1,1000,100,348,0,0,TRUE,TRUE,11.560000000000002,672286332,ok,NA
screening,2,candidate_008,1,1,1,1000,100,255,0,0,TRUE,TRUE,9.149999999999977,1473678031,ok,NA
screening,2,candidate_001,1,2,1,1000,100,487,0,0.01,TRUE,TRUE,10.5,697951849,ok,NA
screening,2,candidate_002,1,2,1,1000,100,688,0,0,TRUE,TRUE,14.5,52822484,ok,NA
screening,2,candidate_003,1,2,1,1000,100,349,0,0,TRUE,TRUE,7.6299999999999955,1151115411,ok,NA
screening,2,candidate_004,1,2,1,1000,100,617,0,0,TRUE,TRUE,18.480000000000018,1521252653,ok,NA
screening,2,candidate_005,1,2,1,1000,100,510,0,0,TRUE,TRUE,15.139999999999986,1713238360,ok,NA
screening,2,candidate_006,1,2,1,1000,100,468,0,0,TRUE,TRUE,14.739999999999952,1610865948,ok,NA
screening,2,candidate_007,1,2,1,1000,100,457,0,0,TRUE,TRUE,14.220000000000027,1719220656,ok,NA
screening,2,candidate_008,1,2,1,1000,100,338,0,0,TRUE,TRUE,11.650000000000034,2052675864,ok,NA
screening,2,candidate_001,1,3,1,1000,100,532,0,0.01,TRUE,TRUE,12.329999999999984,1342058255,ok,NA
screening,2,candidate_002,1,3,1,1000,100,363,0,0,TRUE,TRUE,8.639999999999986,35910250,ok,NA
screening,2,candidate_003,1,3,1,1000,100,719,0,0,TRUE,TRUE,15.79000000000002,1350102261,ok,NA
screening,2,candidate_004,1,3,1,1000,100,696,0,0,TRUE,TRUE,17.94999999999999,355915494,ok,NA
screening,2,candidate_005,1,3,1,1000,100,513,0,0,TRUE,TRUE,14.939999999999998,386122903,ok,NA
screening,2,candidate_006,1,3,1,1000,100,399,0,0,TRUE,TRUE,12.610000000000014,201981318,ok,NA
screening,2,candidate_007,1,3,1,1000,100,516,0,0,TRUE,TRUE,15.829999999999984,662514751,ok,NA
screening,2,candidate_008,1,3,1,1000,100,314,0,0,TRUE,TRUE,10.020000000000039,1416569473,ok,NA
confirmation,1,candidate_002,1,1,1,500,200,422,0,0.01,TRUE,TRUE,11.139999999999986,1256863007,ok,NA
confirmation,1,candidate_001,1,1,1,500,200,286,0,0,TRUE,TRUE,6.709999999999923,870878574,ok,NA
confirmation,1,candidate_002,1,2,1,500,200,247,0,0,TRUE,TRUE,6.819999999999936,52822484,ok,NA
confirmation,1,candidate_001,1,2,1,500,200,500,0,0,TRUE,FALSE,9.970000000000027,697951849,ok,NA
confirmation,1,candidate_002,1,3,1,500,200,263,0,0,TRUE,TRUE,5.690000000000055,35910250,ok,NA
confirmation,1,candidate_001,1,3,1,500,200,500,0,0,TRUE,FALSE,9.169999999999959,1342058255,ok,NA
confirmation,1,candidate_002,1,4,1,500,200,321,0,0,TRUE,TRUE,6.819999999999936,1247556097,ok,NA
confirmation,1,candidate_001,1,4,1,500,200,410,0,0,TRUE,TRUE,10.019999999999982,1265372349,ok,NA
confirmation,1,candidate_002,1,5,1,500,200,374,0,0,TRUE,TRUE,10.590000000000032,1056670208,ok,NA
confirmation,1,candidate_001,1,5,1,500,200,280,0,0,TRUE,TRUE,7.039999999999964,715907924,ok,NA
confirmation,1,candidate_002,2,1,1,500,200,474,0,0,TRUE,TRUE,12.849999999999909,748155042,ok,NA
confirmation,1,candidate_001,2,1,1,500,200,238,0,0,TRUE,TRUE,5.8799999999999955,1776830026,ok,NA
confirmation,1,candidate_002,2,2,1,500,200,410,0,0.01,TRUE,TRUE,11.530000000000086,1522237248,ok,NA
confirmation,1,candidate_001,2,2,1,500,200,287,0,0,TRUE,TRUE,6.970000000000027,1931722072,ok,NA
confirmation,1,candidate_002,2,3,1,500,200,500,0,0,TRUE,FALSE,13.980000000000018,517745521,ok,NA
confirmation,1,candidate_001,2,3,1,500,200,312,0,0.01,TRUE,TRUE,7.509999999999991,1279130091,ok,NA
confirmation,1,candidate_002,2,4,1,500,200,320,0,0,TRUE,TRUE,7.230000000000018,1227236693,ok,NA
confirmation,1,candidate_001,2,4,1,500,200,227,0,0,TRUE,TRUE,4.4500000000000455,21815022,ok,NA
confirmation,1,candidate_002,2,5,1,500,200,310,0,0,TRUE,TRUE,6.57000000000005,106425808,ok,NA
confirmation,1,candidate_001,2,5,1,500,200,332,0,0.01,TRUE,TRUE,6.279999999999973,1073201787,ok,NA
