calibration_stage,budget_order,candidate_id,repeat_id,fold_id,attempt,n_iter_budget,n_sampling,epochs_run,linear_trend_slope,median_diff,converged,early_stopping_triggered,runtime_seconds,fit_seed,fit_status,error_message
screening,1,candidate_001,1,1,1,500,100,395,0,0,TRUE,TRUE,10.350000000000001,870878574,ok,NA
screening,1,candidate_002,1,1,1,500,100,424,0,0,TRUE,TRUE,11.269999999999996,1256863007,ok,NA
screening,1,candidate_003,1,1,1,500,100,366,0,0,TRUE,TRUE,10.030000000000001,1507550643,ok,NA
screening,1,candidate_004,1,1,1,500,100,189,0,0.01,TRUE,TRUE,5.799999999999997,794659114,ok,NA
screening,1,candidate_005,1,1,1,500,100,256,0,0,TRUE,TRUE,7.530000000000001,1084459063,ok,NA
screening,1,candidate_006,1,1,1,500,100,328,0,0,TRUE,TRUE,10.419999999999987,447383268,ok,NA
screening,1,candidate_007,1,1,1,500,100,177,0,0,TRUE,TRUE,5.97999999999999,672286332,ok,NA
screening,1,candidate_008,1,1,1,500,100,200,0,0,TRUE,TRUE,7.299999999999997,1473678031,ok,NA
screening,1,candidate_001,1,2,1,500,100,369,0,0,TRUE,TRUE,8,697951849,ok,NA
screening,1,candidate_002,1,2,1,500,100,267,0,0,TRUE,TRUE,5.909999999999997,52822484,ok,NA
screening,1,candidate_003,1,2,1,500,100,281,0,0.01,TRUE,TRUE,6.349999999999994,1151115411,ok,NA
screening,1,candidate_004,1,2,1,500,100,271,0,0,TRUE,TRUE,6.700000000000003,1521252653,ok,NA
screening,1,candidate_005,1,2,1,500,100,320,0,0,TRUE,TRUE,7.559999999999988,1713238360,ok,NA
screening,1,candidate_006,1,2,1,500,100,252,0,0,TRUE,TRUE,8.290000000000006,1610865948,ok,NA
screening,1,candidate_007,1,2,1,500,100,339,0,0,TRUE,TRUE,11.370000000000005,1719220656,ok,NA
screening,1,candidate_008,1,2,1,500,100,142,0,0,TRUE,TRUE,5.450000000000017,2052675864,ok,NA
screening,1,candidate_001,1,3,1,500,100,361,0,0,TRUE,TRUE,8.389999999999986,1342058255,ok,NA
screening,1,candidate_002,1,3,1,500,100,225,0,0.01,TRUE,TRUE,5.810000000000002,35910250,ok,NA
screening,1,candidate_003,1,3,1,500,100,444,0,0.01,TRUE,TRUE,11.780000000000001,1350102261,ok,NA
screening,1,candidate_004,1,3,1,500,100,280,0,0,TRUE,TRUE,8.420000000000016,355915494,ok,NA
screening,1,candidate_005,1,3,1,500,100,243,0,0,TRUE,TRUE,6.969999999999999,386122903,ok,NA
screening,1,candidate_006,1,3,1,500,100,161,0,0,TRUE,TRUE,5.439999999999998,201981318,ok,NA
screening,1,candidate_007,1,3,1,500,100,152,0,0,TRUE,TRUE,5.060000000000002,662514751,ok,NA
screening,1,candidate_008,1,3,1,500,100,202,0,0,TRUE,TRUE,7.1299999999999955,1416569473,ok,NA
screening,2,candidate_001,1,1,1,1000,100,600,0,0,TRUE,TRUE,12.060000000000002,870878574,ok,NA
screening,2,candidate_002,1,1,1,1000,100,524,0,0,TRUE,TRUE,11.219999999999999,1256863007,ok,NA
screening,2,candidate_003,1,1,1,1000,100,466,0,0,TRUE,TRUE,10.29000000000002,1507550643,ok,NA
screening,2,candidate_004,1,1,1,1000,100,857,0,0,TRUE,TRUE,26.44999999999999,794659114,ok,NA
screening,2,candidate_005,1,1,1,1000,100,356,0,0,TRUE,TRUE,10.620000000000005,1084459063,ok,NA
screening,2,candidate_006,1,1,1,1000,100,428,0,0,TRUE,TRUE,14.25,447383268,ok,NA
screening,2,candidate_007,1,1,1,1000,100,277,0,0,TRUE,TRUE,9.470000000000027,672286332,ok,NA
screening,2,candidate_008,1,1,1,1000,100,300,0,0,TRUE,TRUE,11.269999999999982,1473678031,ok,NA
screening,2,candidate_001,1,2,1,1000,100,469,0,0,TRUE,TRUE,11.03000000000003,697951849,ok,NA
screening,2,candidate_002,1,2,1,1000,100,545,0,0,TRUE,TRUE,12.980000000000018,52822484,ok,NA
screening,2,candidate_003,1,2,1,1000,100,535,0,0,TRUE,TRUE,11.78000000000003,1151115411,ok,NA
screening,2,candidate_004,1,2,1,1000,100,371,0,0,TRUE,TRUE,9.019999999999982,1521252653,ok,NA
screening,2,candidate_005,1,2,1,1000,100,534,0,0,TRUE,TRUE,15.28000000000003,1713238360,ok,NA
screening,2,candidate_006,1,2,1,1000,100,352,0,0,TRUE,TRUE,11.810000000000002,1610865948,ok,NA
screening,2,candidate_007,1,2,1,1000,100,439,0,0,TRUE,TRUE,13.310000000000002,1719220656,ok,NA
screening,2,candidate_008,1,2,1,1000,100,427,0,0,TRUE,TRUE,14.730000000000018,2052675864,ok,NA
screening,2,candidate_001,1,3,1,1000,100,461,0,0,TRUE,TRUE,10.46999999999997,1342058255,ok,NA
screening,2,candidate_002,1,3,1,1000,100,951,0,0,TRUE,TRUE,24.75,35910250,ok,NA
screening,2,candidate_003,1,3,1,1000,100,544,0,0,TRUE,TRUE,11.829999999999984,1350102261,ok,NA
screening,2,candidate_004,1,3,1,1000,100,695,0,0,TRUE,TRUE,16.360000000000014,355915494,ok,NA
screening,2,candidate_005,1,3,1,1000,100,343,0,0,TRUE,TRUE,9.660000000000025,386122903,ok,NA
screening,2,candidate_006,1,3,1,1000,100,261,0,0,TRUE,TRUE,8.660000000000025,201981318,ok,NA
screening,2,candidate_007,1,3,1,1000,100,252,0,0,TRUE,TRUE,8.71999999999997,662514751,ok,NA
screening,2,candidate_008,1,3,1,1000,100,302,0,0,TRUE,TRUE,10.649999999999977,1416569473,ok,NA
confirmation,1,candidate_002,1,1,1,500,200,425,0,0,TRUE,TRUE,11.450000000000045,1256863007,ok,NA
confirmation,1,candidate_001,1,1,1,500,200,307,0,0,TRUE,TRUE,7.2000000000000455,870878574,ok,NA
confirmation,1,candidate_002,1,2,1,500,200,356,0,0,TRUE,TRUE,9.430000000000064,52822484,ok,NA
confirmation,1,candidate_001,1,2,1,500,200,267,0,0,TRUE,TRUE,6.290000000000077,697951849,ok,NA
confirmation,1,candidate_002,1,3,1,500,200,419,0,0,TRUE,TRUE,11.230000000000018,35910250,ok,NA
confirmation,1,candidate_001,1,3,1,500,200,377,0,0,TRUE,TRUE,8.539999999999964,1342058255,ok,NA
confirmation,1,candidate_002,1,4,1,500,200,500,0,0,TRUE,FALSE,10.620000000000005,1247556097,ok,NA
confirmation,1,candidate_001,1,4,1,500,200,196,0,0,TRUE,TRUE,3.7799999999999727,1265372349,ok,NA
