calibration_stage,budget_order,candidate_id,repeat_id,fold_id,attempt,n_iter_budget,n_sampling,epochs_run,linear_trend_slope,median_diff,converged,early_stopping_triggered,runtime_seconds,fit_seed,fit_status,error_message
screening,1,candidate_001,1,1,1,500,100,443,0,0.01,TRUE,TRUE,11.66,870878574,ok,NA
screening,1,candidate_002,1,1,1,500,100,345,0,0,TRUE,TRUE,9.75,1256863007,ok,NA
screening,1,candidate_003,1,1,1,500,100,197,0,0.01,TRUE,TRUE,5.6199999999999974,1507550643,ok,NA
screening,1,candidate_004,1,1,1,500,100,342,0,0.01,TRUE,TRUE,10.389999999999993,794659114,ok,NA
screening,1,candidate_005,1,1,1,500,100,199,0,0,TRUE,TRUE,5.780000000000008,1084459063,ok,NA
screening,1,candidate_006,1,1,1,500,100,271,0,0,TRUE,TRUE,8.58999999999999,447383268,ok,NA
screening,1,candidate_007,1,1,1,500,100,239,0,0,TRUE,TRUE,7.790000000000006,672286332,ok,NA
screening,1,candidate_008,1,1,1,500,100,211,0,0,TRUE,TRUE,7.429999999999993,1473678031,ok,NA
screening,1,candidate_001,1,2,1,500,100,421,0,0.01,TRUE,TRUE,9.829999999999998,697951849,ok,NA
screening,1,candidate_002,1,2,1,500,100,328,0,0,TRUE,TRUE,8.240000000000009,52822484,ok,NA
screening,1,candidate_003,1,2,1,500,100,364,0,0,TRUE,TRUE,8,1151115411,ok,NA
screening,1,candidate_004,1,2,1,500,100,345,0,0,TRUE,TRUE,8.269999999999996,1521252653,ok,NA
screening,1,candidate_005,1,2,1,500,100,377,0,0,TRUE,TRUE,8.810000000000002,1713238360,ok,NA
screening,1,candidate_006,1,2,1,500,100,446,0,0,TRUE,TRUE,14.680000000000007,1610865948,ok,NA
screening,1,candidate_007,1,2,1,500,100,276,0,0,TRUE,TRUE,9.439999999999998,1719220656,ok,NA
screening,1,candidate_008,1,2,1,500,100,208,0,0.01,TRUE,TRUE,7.6200000000000045,2052675864,ok,NA
screening,1,candidate_001,1,3,1,500,100,259,0,0,TRUE,TRUE,6.060000000000002,1342058255,ok,NA
screening,1,candidate_002,1,3,1,500,100,312,0,0.02,TRUE,TRUE,8.25,35910250,ok,NA
