calibration_stage,budget_order,candidate_id,repeat_id,fold_id,attempt,n_iter_budget,n_sampling,epochs_run,linear_trend_slope,median_diff,converged,early_stopping_triggered,runtime_seconds,fit_seed,fit_status,error_message
screening,1,candidate_001,1,1,1,500,100,306,0,0,TRUE,TRUE,11.920000000000002,870878574,ok,NA
screening,1,candidate_002,1,1,1,500,100,349,0,0,TRUE,TRUE,15.200000000000003,1256863007,ok,NA
screening,1,candidate_003,1,1,1,500,100,218,0,0,TRUE,TRUE,9.699999999999996,1507550643,ok,NA
screening,1,candidate_004,1,1,1,500,100,253,0,0,TRUE,TRUE,11.910000000000004,794659114,ok,NA
screening,1,candidate_005,1,1,1,500,100,284,0,0,TRUE,TRUE,13.170000000000002,1084459063,ok,NA
screening,1,candidate_006,1,1,1,500,100,345,0,0,TRUE,TRUE,16.959999999999994,447383268,ok,NA
screening,1,candidate_007,1,1,1,500,100,171,0,0,TRUE,TRUE,8.730000000000004,672286332,ok,NA
screening,1,candidate_008,1,1,1,500,100,186,0,0,TRUE,TRUE,10.100000000000009,1473678031,ok,NA
screening,1,candidate_001,1,2,1,500,100,246,0,0,TRUE,TRUE,9.719999999999999,697951849,ok,NA
screening,1,candidate_002,1,2,1,500,100,293,0,0,TRUE,TRUE,11.740000000000009,52822484,ok,NA
screening,1,candidate_003,1,2,1,500,100,201,0,0,TRUE,TRUE,8.27000000000001,1151115411,ok,NA
screening,1,candidate_004,1,2,1,500,100,280,0,0,TRUE,TRUE,13.030000000000001,1521252653,ok,NA
screening,1,candidate_005,1,2,1,500,100,193,0,0,TRUE,TRUE,9.659999999999997,1713238360,ok,NA
screening,1,candidate_006,1,2,1,500,100,326,0,0,TRUE,TRUE,19.180000000000007,1610865948,ok,NA
screening,1,candidate_007,1,2,1,500,100,190,0,0,TRUE,TRUE,9.27000000000001,1719220656,ok,NA
screening,1,candidate_008,1,2,1,500,100,316,0,0,TRUE,TRUE,16.139999999999986,2052675864,ok,NA
screening,1,candidate_001,1,3,1,500,100,231,0,0,TRUE,TRUE,9.340000000000003,1342058255,ok,NA
screening,1,candidate_002,1,3,1,500,100,352,0,0,TRUE,TRUE,14.75,35910250,ok,NA
