calibration_stage,budget_order,candidate_id,repeat_id,fold_id,attempt,n_iter_budget,n_sampling,epochs_run,linear_trend_slope,median_diff,converged,early_stopping_triggered,runtime_seconds,fit_seed,fit_status,error_message
screening,1,candidate_001,1,1,1,500,100,379,0,0,TRUE,TRUE,21.490000000000002,870878574,ok,NA
screening,1,candidate_002,1,1,1,500,100,376,0,0,TRUE,TRUE,21.240000000000002,1256863007,ok,NA
screening,1,candidate_003,1,1,1,500,100,378,0,0,TRUE,TRUE,20.75999999999999,1507550643,ok,NA
screening,1,candidate_004,1,1,1,500,100,194,0,0.01,TRUE,TRUE,10.959999999999994,794659114,ok,NA
screening,1,candidate_005,1,1,1,500,100,478,0,0,TRUE,TRUE,27.17,1084459063,ok,NA
screening,1,candidate_006,1,1,1,500,100,291,0,0,TRUE,TRUE,16.58999999999999,447383268,ok,NA
screening,1,candidate_007,1,1,1,500,100,261,0,0.01,TRUE,TRUE,15.549999999999983,672286332,ok,NA
screening,1,candidate_008,1,1,1,500,100,193,0,0.03,TRUE,TRUE,11.569999999999993,1473678031,ok,NA
screening,1,candidate_001,1,2,1,500,100,250,0,0.01,TRUE,TRUE,13.919999999999987,697951849,ok,NA
screening,1,candidate_002,1,2,1,500,100,292,0,0,TRUE,TRUE,16.450000000000017,52822484,ok,NA
screening,1,candidate_003,1,2,1,500,100,377,0,0.01,TRUE,TRUE,21.140000000000015,1151115411,ok,NA
screening,1,candidate_004,1,2,1,500,100,393,0,0,TRUE,TRUE,22.47999999999999,1521252653,ok,NA
screening,1,candidate_005,1,2,1,500,100,410,0,0.01,TRUE,TRUE,23.389999999999986,1713238360,ok,NA
screening,1,candidate_006,1,2,1,500,100,247,0,0,TRUE,TRUE,14.310000000000002,1610865948,ok,NA
screening,1,candidate_007,1,2,1,500,100,225,0,0,TRUE,TRUE,13.399999999999977,1719220656,ok,NA
screening,1,candidate_008,1,2,1,500,100,177,0,0.01,TRUE,TRUE,10.449999999999989,2052675864,ok,NA
screening,1,candidate_001,1,3,1,500,100,282,0,0,TRUE,TRUE,15.550000000000011,1342058255,ok,NA
screening,1,candidate_002,1,3,1,500,100,417,0,0,TRUE,TRUE,22.339999999999975,35910250,ok,NA
screening,1,candidate_003,1,3,1,500,100,280,0,0.01,TRUE,TRUE,15.310000000000002,1350102261,ok,NA
screening,1,candidate_004,1,3,1,500,100,271,0,0,TRUE,TRUE,15.069999999999993,355915494,ok,NA
screening,1,candidate_005,1,3,1,500,100,500,0,0,TRUE,FALSE,27.519999999999982,386122903,ok,NA
screening,1,candidate_006,1,3,1,500,100,467,0,0.01,TRUE,TRUE,26.16999999999996,201981318,ok,NA
screening,1,candidate_007,1,3,1,500,100,264,0,0.01,TRUE,TRUE,15.75,662514751,ok,NA
screening,1,candidate_008,1,3,1,500,100,190,0,0,TRUE,TRUE,11.129999999999995,1416569473,ok,NA
screening,2,candidate_001,1,1,1,1000,100,479,0,0.01,TRUE,TRUE,25.899999999999977,870878574,ok,NA
screening,2,candidate_002,1,1,1,1000,100,476,0,0,TRUE,TRUE,26.200000000000045,1256863007,ok,NA
screening,2,candidate_003,1,1,1,1000,100,478,0,0,TRUE,TRUE,26.850000000000023,1507550643,ok,NA
screening,2,candidate_004,1,1,1,1000,100,595,0,0,TRUE,TRUE,33.139999999999986,794659114,ok,NA
screening,2,candidate_005,1,1,1,1000,100,723,0,0.01,TRUE,TRUE,39.84000000000003,1084459063,ok,NA
screening,2,candidate_006,1,1,1,1000,100,506,0,0.01,TRUE,TRUE,28.709999999999923,447383268,ok,NA
screening,2,candidate_007,1,1,1,1000,100,527,0,0.03,TRUE,TRUE,29.889999999999986,672286332,ok,NA
screening,2,candidate_008,1,1,1,1000,100,293,0,0.01,TRUE,TRUE,17.229999999999905,1473678031,ok,NA
screening,2,candidate_001,1,2,1,1000,100,350,0,0.01,TRUE,TRUE,19.639999999999986,697951849,ok,NA
screening,2,candidate_002,1,2,1,1000,100,392,0,0,TRUE,TRUE,22.529999999999973,52822484,ok,NA
screening,2,candidate_003,1,2,1,1000,100,477,0,0,TRUE,TRUE,26.659999999999968,1151115411,ok,NA
screening,2,candidate_004,1,2,1,1000,100,493,0,0.01,TRUE,TRUE,28.420000000000073,1521252653,ok,NA
screening,2,candidate_005,1,2,1,1000,100,510,0,0,TRUE,TRUE,29.5,1713238360,ok,NA
screening,2,candidate_006,1,2,1,1000,100,516,0,0.02,TRUE,TRUE,29.670000000000073,1610865948,ok,NA
screening,2,candidate_007,1,2,1,1000,100,325,0,0.01,TRUE,TRUE,19.120000000000005,1719220656,ok,NA
screening,2,candidate_008,1,2,1,1000,100,594,0,0.01,TRUE,TRUE,35.700000000000045,2052675864,ok,NA
screening,2,candidate_001,1,3,1,1000,100,382,0,0.01,TRUE,TRUE,20.600000000000023,1342058255,ok,NA
screening,2,candidate_002,1,3,1,1000,100,517,0,0.01,TRUE,TRUE,27.709999999999923,35910250,ok,NA
screening,2,candidate_003,1,3,1,1000,100,380,0,0,TRUE,TRUE,20.610000000000014,1350102261,ok,NA
screening,2,candidate_004,1,3,1,1000,100,371,0,0,TRUE,TRUE,20.989999999999895,355915494,ok,NA
