calibration_stage,budget_order,candidate_id,repeat_id,fold_id,attempt,n_iter_budget,n_sampling,epochs_run,linear_trend_slope,median_diff,converged,early_stopping_triggered,runtime_seconds,fit_seed,fit_status,error_message
screening,1,candidate_001,1,1,1,500,100,500,0,0,TRUE,FALSE,10.32,870878574,ok,NA
screening,1,candidate_002,1,1,1,500,100,361,0,0,TRUE,TRUE,8.310000000000002,1256863007,ok,NA
screening,1,candidate_003,1,1,1,500,100,500,0,0.04,TRUE,FALSE,11.46,1507550643,ok,NA
screening,1,candidate_004,1,1,1,500,100,243,0,0,TRUE,TRUE,6.440000000000005,794659114,ok,NA
screening,1,candidate_005,1,1,1,500,100,500,0,0,TRUE,FALSE,12.86,1084459063,ok,NA
screening,1,candidate_006,1,1,1,500,100,460,0,0,TRUE,TRUE,13.08999999999999,447383268,ok,NA
screening,1,candidate_007,1,1,1,500,100,500,0,0.01,TRUE,FALSE,13.400000000000006,672286332,ok,NA
screening,1,candidate_008,1,1,1,500,100,207,0,0.01,TRUE,TRUE,5.799999999999997,1473678031,ok,NA
screening,1,candidate_001,1,2,1,500,100,371,0,0.04,TRUE,TRUE,5.810000000000002,697951849,ok,NA
screening,1,candidate_002,1,2,1,500,100,365,0,0.03,TRUE,TRUE,6.8500000000000085,52822484,ok,NA
screening,1,candidate_003,1,2,1,500,100,500,0,0.01,TRUE,FALSE,9.900000000000006,1151115411,ok,NA
screening,1,candidate_004,1,2,1,500,100,283,0,0,TRUE,TRUE,7.589999999999989,1521252653,ok,NA
screening,1,candidate_005,1,2,1,500,100,500,0,0.02,TRUE,FALSE,12.859999999999985,1713238360,ok,NA
screening,1,candidate_006,1,2,1,500,100,454,0,0.01,TRUE,TRUE,12.030000000000001,1610865948,ok,NA
screening,1,candidate_007,1,2,1,500,100,500,0,0.01,TRUE,FALSE,13.870000000000005,1719220656,ok,NA
screening,1,candidate_008,1,2,1,500,100,298,0,0.01,TRUE,TRUE,9.730000000000018,2052675864,ok,NA
screening,1,candidate_001,1,3,1,500,100,379,0,0.03,TRUE,TRUE,7.210000000000008,1342058255,ok,NA
screening,1,candidate_002,1,3,1,500,100,500,0,0.01,TRUE,FALSE,10.5,35910250,ok,NA
screening,1,candidate_003,1,3,1,500,100,500,0,0.01,TRUE,FALSE,10.329999999999984,1350102261,ok,NA
screening,1,candidate_004,1,3,1,500,100,320,0,0.03,TRUE,TRUE,6.420000000000016,355915494,ok,NA
screening,1,candidate_005,1,3,1,500,100,500,0,0.01,TRUE,FALSE,10.150000000000006,386122903,ok,NA
screening,1,candidate_006,1,3,1,500,100,500,0,0,TRUE,FALSE,10.859999999999985,201981318,ok,NA
screening,1,candidate_007,1,3,1,500,100,500,0,0.01,TRUE,FALSE,11.22999999999999,662514751,ok,NA
screening,1,candidate_008,1,3,1,500,100,182,0,0.01,TRUE,TRUE,6.079999999999984,1416569473,ok,NA
screening,2,candidate_001,1,1,1,1000,100,878,0,0.03,TRUE,TRUE,16.480000000000018,870878574,ok,NA
screening,2,candidate_002,1,1,1,1000,100,461,0,0.01,TRUE,TRUE,10.54000000000002,1256863007,ok,NA
