calibration_stage,budget_order,candidate_id,repeat_id,fold_id,attempt,n_iter_budget,n_sampling,epochs_run,linear_trend_slope,median_diff,converged,early_stopping_triggered,runtime_seconds,fit_seed,fit_status,error_message
screening,1,candidate_001,1,1,1,500,100,340,0,0.02,TRUE,TRUE,7.370000000000001,870878574,ok,NA
screening,1,candidate_002,1,1,1,500,100,487,0,0.01,TRUE,TRUE,11.160000000000004,1256863007,ok,NA
screening,1,candidate_003,1,1,1,500,100,283,0,0,TRUE,TRUE,6.960000000000001,1507550643,ok,NA
screening,1,candidate_004,1,1,1,500,100,240,0,0.02,TRUE,TRUE,6.380000000000003,794659114,ok,NA
screening,1,candidate_005,1,1,1,500,100,500,0,0.02,TRUE,FALSE,12.560000000000002,1084459063,ok,NA
screening,1,candidate_006,1,1,1,500,100,383,0,0.03,TRUE,TRUE,8.810000000000002,447383268,ok,NA
screening,1,candidate_007,1,1,1,500,100,220,0,0.03,TRUE,TRUE,5.3799999999999955,672286332,ok,NA
screening,1,candidate_008,1,1,1,500,100,184,0,0.01,TRUE,TRUE,6.390000000000001,1473678031,ok,NA
screening,1,candidate_001,1,2,1,500,100,383,0,0.02,TRUE,TRUE,7.780000000000001,697951849,ok,NA
screening,1,candidate_002,1,2,1,500,100,470,0,0.02,TRUE,TRUE,11.030000000000001,52822484,ok,NA
screening,1,candidate_003,1,2,1,500,100,348,0,0.01,TRUE,TRUE,7.609999999999999,1151115411,ok,NA
screening,1,candidate_004,1,2,1,500,100,321,0,0.04,TRUE,TRUE,7.1200000000000045,1521252653,ok,NA
screening,1,candidate_005,1,2,1,500,100,322,0,0.02,TRUE,TRUE,6.97999999999999,1713238360,ok,NA
screening,1,candidate_006,1,2,1,500,100,500,0,0.01,TRUE,FALSE,11.890000000000015,1610865948,ok,NA
screening,1,candidate_007,1,2,1,500,100,335,0,0.04,TRUE,TRUE,10.280000000000001,1719220656,ok,NA
screening,1,candidate_008,1,2,1,500,100,291,0,0.01,TRUE,TRUE,9.620000000000005,2052675864,ok,NA
screening,1,candidate_001,1,3,1,500,100,364,0,0.01,TRUE,TRUE,7.3799999999999955,1342058255,ok,NA
screening,1,candidate_002,1,3,1,500,100,439,0,0.04,TRUE,TRUE,10.370000000000005,35910250,ok,NA
screening,1,candidate_003,1,3,1,500,100,382,0,0.02,TRUE,TRUE,9.560000000000002,1350102261,ok,NA
screening,1,candidate_004,1,3,1,500,100,311,0,0.03,TRUE,TRUE,8.669999999999987,355915494,ok,NA
screening,1,candidate_005,1,3,1,500,100,331,0,0.01,TRUE,TRUE,8.969999999999999,386122903,ok,NA
screening,1,candidate_006,1,3,1,500,100,428,0,0.02,TRUE,TRUE,12.72999999999999,201981318,ok,NA
screening,1,candidate_007,1,3,1,500,100,454,0,0.01,TRUE,TRUE,13.300000000000011,662514751,ok,NA
screening,1,candidate_008,1,3,1,500,100,171,0,0.03,TRUE,TRUE,4.900000000000006,1416569473,ok,NA
screening,2,candidate_001,1,1,1,1000,100,598,0,0.02,TRUE,TRUE,9.560000000000002,870878574,ok,NA
screening,2,candidate_002,1,1,1,1000,100,587,0,0.02,TRUE,TRUE,11.140000000000015,1256863007,ok,NA
screening,2,candidate_003,1,1,1,1000,100,383,0,0.01,TRUE,TRUE,9.180000000000007,1507550643,ok,NA
screening,2,candidate_004,1,1,1,1000,100,340,0,0,TRUE,TRUE,8.970000000000027,794659114,ok,NA
screening,2,candidate_005,1,1,1,1000,100,617,0,0.01,TRUE,TRUE,16.100000000000023,1084459063,ok,NA
screening,2,candidate_006,1,1,1,1000,100,483,0,0.01,TRUE,TRUE,13.050000000000011,447383268,ok,NA
screening,2,candidate_007,1,1,1,1000,100,320,0,0.04,TRUE,TRUE,7.420000000000016,672286332,ok,NA
screening,2,candidate_008,1,1,1,1000,100,284,0,0.01,TRUE,TRUE,9.589999999999975,1473678031,ok,NA
screening,2,candidate_001,1,2,1,1000,100,991,0,0,TRUE,TRUE,19.279999999999973,697951849,ok,NA
