finding_type,severity,current_path,symbol,owning_issue,message
function_naming,report_only,R/Functions/Data_access/Vegvault/read_vegvault_scalar.R,read_vegvault_scalar,#155,Review leading verb `read` against version 1.
function_naming,report_only,R/Functions/Modelling/Cross_validation/adapt_cross_validation_assignments.R,adapt_cross_validation_assignments,#141,Review leading verb `adapt` against version 1.
function_naming,report_only,R/Functions/Modelling/Cross_validation/assemble_sjsdm_cached_selected_folds.R,assemble_sjsdm_cached_selected_folds,#141,Review leading verb `assemble` against version 1.
function_naming,report_only,R/Functions/Modelling/Cross_validation/assess_cross_validation_feasibility.R,assess_cross_validation_feasibility,#141,Review leading verb `assess` against version 1.
function_naming,report_only,R/Functions/Modelling/Cross_validation/assess_sjsdm_candidate_guardrails.R,assess_sjsdm_candidate_guardrails,#141,Review leading verb `assess` against version 1.
function_naming,report_only,R/Functions/Modelling/Cross_validation/assess_sjsdm_scientific_performance.R,assess_sjsdm_scientific_performance,#141,Review leading verb `assess` against version 1.
function_naming,report_only,R/Functions/Modelling/Cross_validation/assess_sjsdm_staged_benchmark.R,assess_sjsdm_staged_benchmark,#141,Review leading verb `assess` against version 1.
function_naming,report_only,R/Functions/Modelling/Cross_validation/assess_sjsdm_taxon_eligibility.R,assess_sjsdm_taxon_eligibility,#141,Review leading verb `assess` against version 1.
function_naming,report_only,R/Functions/Modelling/Cross_validation/assess_spatial_mev_paired_benchmark.R,assess_spatial_mev_paired_benchmark,#141,Review leading verb `assess` against version 1.
function_naming,report_only,R/Functions/Modelling/Cross_validation/calibrate_cross_validation_grid_from_resolution.R,calibrate_cross_validation_grid_from_resolution,#141,Review leading verb `calibrate` against version 1.
function_naming,report_only,R/Functions/Modelling/Cross_validation/calibrate_cross_validation_grid_size.R,calibrate_cross_validation_grid_size,#141,Review leading verb `calibrate` against version 1.
function_naming,report_only,R/Functions/Modelling/Cross_validation/collect_sjsdm_available_tier_decisions.R,collect_sjsdm_available_tier_decisions,#141,Review leading verb `collect` against version 1.
function_naming,report_only,R/Functions/Modelling/Cross_validation/collect_sjsdm_tuning_summaries.R,collect_sjsdm_tuning_summaries,#141,Review leading verb `collect` against version 1.
function_naming,report_only,R/Functions/Modelling/Cross_validation/collect_sjsdm_tuning_timings.R,collect_sjsdm_tuning_timings,#141,Review leading verb `collect` against version 1.
function_naming,report_only,R/Functions/Modelling/Cross_validation/combine_sjsdm_tuning_work_items.R,combine_sjsdm_tuning_work_items,#141,Review leading verb `combine` against version 1.
function_naming,report_only,R/Functions/Modelling/Cross_validation/compare_sjsdm_decomposition_fold_metrics.R,compare_sjsdm_decomposition_fold_metrics,#141,Review leading verb `compare` against version 1.
function_naming,report_only,R/Functions/Modelling/Cross_validation/configure_sjsdm_predictor_structure.R,configure_sjsdm_predictor_structure,#141,Review leading verb `configure` against version 1.
function_naming,report_only,R/Functions/Modelling/Cross_validation/get_sjsdm_staged_benchmark_policy.R,get_sjsdm_staged_benchmark_policy,#141,Review leading verb `get` against version 1.
function_naming,report_only,R/Functions/Modelling/Cross_validation/make_cross_validation_assignments_from_resolution.R,make_cross_validation_assignments_from_resolution,#141,Review leading verb `make` against version 1.
function_naming,report_only,R/Functions/Modelling/Cross_validation/make_cross_validation_branch_assignments.R,make_cross_validation_branch_assignments,#141,Review leading verb `make` against version 1.
function_naming,report_only,R/Functions/Modelling/Cross_validation/make_cross_validation_grid_candidates.R,make_cross_validation_grid_candidates,#141,Review leading verb `make` against version 1.
function_naming,report_only,R/Functions/Modelling/Cross_validation/make_cross_validation_grid_candidates_from_resolution.R,make_cross_validation_grid_candidates_from_resolution,#141,Review leading verb `make` against version 1.
function_naming,report_only,R/Functions/Modelling/Cross_validation/make_cross_validation_location_table.R,make_cross_validation_location_table,#141,Review leading verb `make` against version 1.
function_naming,report_only,R/Functions/Modelling/Cross_validation/make_cross_validation_partition_diagnostics.R,make_cross_validation_partition_diagnostics,#141,Review leading verb `make` against version 1.
function_naming,report_only,R/Functions/Modelling/Cross_validation/make_leave_one_location_out_assignments.R,make_leave_one_location_out_assignments,#141,Review leading verb `make` against version 1.
function_naming,report_only,R/Functions/Modelling/Cross_validation/make_sjsdm_empty_selected_fold_artifacts.R,make_sjsdm_empty_selected_fold_artifacts,#141,Review leading verb `make` against version 1.
function_naming,report_only,R/Functions/Modelling/Cross_validation/make_sjsdm_regularization_candidates.R,make_sjsdm_regularization_candidates,#141,Review leading verb `make` against version 1.
function_naming,report_only,R/Functions/Modelling/Cross_validation/make_sjsdm_structured_regularization_candidates.R,make_sjsdm_structured_regularization_candidates,#141,Review leading verb `make` against version 1.
function_naming,report_only,R/Functions/Modelling/Cross_validation/make_sjsdm_tuning_branch_work_items.R,make_sjsdm_tuning_branch_work_items,#141,Review leading verb `make` against version 1.
function_naming,report_only,R/Functions/Modelling/Cross_validation/make_sjsdm_tuning_fold_context.R,make_sjsdm_tuning_fold_context,#141,Review leading verb `make` against version 1.
function_naming,report_only,R/Functions/Modelling/Cross_validation/make_spatial_cross_validation_assignments.R,make_spatial_cross_validation_assignments,#141,Review leading verb `make` against version 1.
function_naming,report_only,R/Functions/Modelling/Cross_validation/read_sjsdm_tier_survivor_decisions.R,read_sjsdm_tier_survivor_decisions,#141,Review leading verb `read` against version 1.
function_naming,report_only,R/Functions/Modelling/Cross_validation/read_sjsdm_tier_tuning_artifact.R,read_sjsdm_tier_tuning_artifact,#141,Review leading verb `read` against version 1.
function_naming,report_only,R/Functions/Modelling/Decomposition_diagnostics/get_decomposition_route_sample_ids.R,get_decomposition_route_sample_ids,#154,Review leading verb `get` against version 1.
function_naming,report_only,R/Functions/Modelling/Decomposition_diagnostics/make_decomposition_diagnostic_routes.R,make_decomposition_diagnostic_routes,#154,Review leading verb `make` against version 1.
function_naming,report_only,R/Functions/Modelling/Decomposition_diagnostics/make_decomposition_env_formula.R,make_decomposition_env_formula,#154,Review leading verb `make` against version 1.
function_naming,report_only,R/Functions/Modelling/Decomposition_diagnostics/make_repeated_cv_indices.R,make_repeated_cv_indices,#154,Review leading verb `make` against version 1.
function_naming,report_only,R/Functions/Modelling/Decomposition_diagnostics/refresh_cz_decomposition_upstream.R,refresh_cz_decomposition_upstream,#154,Review leading verb `refresh` against version 1.
function_naming,report_only,R/Functions/Modelling/Diagnostics/check_convergence_jsdm.R,check_convergence_jsdm,#154,Review leading verb `check` against version 1.
function_naming,report_only,R/Functions/Modelling/Diagnostics/check_cuda_gpu_runtime.R,check_cuda_gpu_runtime,#154,Review leading verb `check` against version 1.
function_naming,report_only,R/Functions/Modelling/Diagnostics/check_torch_cuda_details.R,.check_torch_cuda_details,#154,Review leading verb `check` against version 1.
function_naming,report_only,R/Functions/Modelling/Diagnostics/verify_sjsdm_setup.R,verify_sjsdm_setup,#154,Review leading verb `verify` against version 1.
