taxon_name,trait_domain_name,data_source_id,n_records,source_taxon_median,source_taxon_log10_median,n_sources_for_taxon,other_source_median,cross_source_ratio,cross_source_log10_gap,cross_source_nearest_factor,cross_source_factor_relative_error,flag_cross_source_corroborated,n_source_taxon_groups,domain_log10_median,lwr_25_log10,upr_75_log10,iqr_log10,global_outlier_lwr,global_outlier_upr,flag_global_log_outlier,global_ratio_to_median,global_nearest_factor,suggested_scale_factor,diagnostic_reason,diagnostic_priority
Aesculus californica,Diaspore mass,115,1,35714.28,4.552841899170658,2,35714.286,1.000000168000027,7.29614785573727e-8,1,1.6800002700101402e-7,FALSE,2718,0.034296619644800186,-0.6184400003167174,0.5840972375293858,1.2025372378461032,-4.226051713855027,4.191708951067696,TRUE,3.0300843648405846e-5,1e-5,1e-5,global_log_outlier,medium
Aesculus californica,Diaspore mass,558,1,35714.286,4.5528419721321365,2,35714.28,0.9999998320000013,7.296147851972682e-8,1,1.679999986903269e-7,FALSE,2718,0.034296619644800186,-0.6184400003167174,0.5840972375293858,1.2025372378461032,-4.226051713855027,4.191708951067696,TRUE,3.0300838557864153e-5,1e-5,1e-5,global_log_outlier,medium
Abutilon incanum,Leaf mass per area,211,10,154.51418477106358,2.1889683548613266,2,0.006474864457523859,4.1904660514614646e-5,4.377737673376853,1e-4,0.5809533948538536,FALSE,10687,-1.7041898635726516,-2.208331081708242,-1.2111205412580495,0.9972105404501928,-5.19996270305882,1.7805110800925286,TRUE,1.2789152958450853e-4,1e-4,1e-4,global_log_outlier,medium
Acamptopappus sphaerocephalus,Leaf mass per area,211,11,1689.739288589036,3.2278197020920545,2,5.920470642628938e-4,3.5037775842761173e-7,6.455463470137331,1e-6,0.6496222415723882,FALSE,10687,-1.7041898635726516,-2.208331081708242,-1.2111205412580495,0.9972105404501928,-5.19996270305882,1.7805110800925286,TRUE,1.1694736321942034e-5,1e-5,1e-5,global_log_outlier,medium
Acer rubrum,Leaf mass per area,346,2,69.04761904761905,1.8391487075010557,18,0.010505420003180556,1.5214746211502874e-4,3.817735287463758,1e-4,0.5214746211502873,FALSE,10687,-1.7041898635726516,-2.208331081708242,-1.2111205412580495,0.9972105404501928,-5.19996270305882,1.7805110800925286,TRUE,2.861945959243921e-4,1e-4,1e-4,global_log_outlier,medium
Acer rubrum,Leaf mass per area,468,11,166.66666666666666,2.221848749616356,18,0.010505420003180556,6.303252001908334e-5,4.200435329579059,1e-4,0.3696747998091666,FALSE,10687,-1.7041898635726516,-2.208331081708242,-1.2111205412580495,0.9972105404501928,-5.19996270305882,1.7805110800925286,TRUE,1.1856633259724817e-4,1e-4,1e-4,global_log_outlier,medium
Acer saccharum,Leaf mass per area,346,16,62.5,1.7958800173440752,16,0.02152767959659413,3.444428735455061e-4,3.462882796285267,0.001,0.6555571264544939,FALSE,10687,-1.7041898635726516,-2.208331081708242,-1.2111205412580495,0.9972105404501928,-5.19996270305882,1.7805110800925286,TRUE,3.161768869259951e-4,1e-4,1e-4,global_log_outlier,medium
Acer spicatum,Leaf mass per area,468,11,588.2352941176471,2.769551078621726,5,0.01764314067431698,2.9993339146338863e-5,4.522975181719544,1e-5,1.9993339146338862,FALSE,10687,-1.7041898635726516,-2.208331081708242,-1.2111205412580495,0.9972105404501928,-5.19996270305882,1.7805110800925286,TRUE,3.359379423588698e-5,1e-4,1e-4,global_log_outlier,medium
Achillea millefolium,Leaf mass per area,258,39,122.32530120481934,2.0875162938080636,27,0.0625309674574955,5.111858858438022e-4,3.291421145821438,0.001,0.4888141141561978,FALSE,10687,-1.7041898635726516,-2.208331081708242,-1.2111205412580495,0.9972105404501928,-5.19996270305882,1.7805110800925286,TRUE,1.6154511976052387e-4,1e-4,1e-4,global_log_outlier,medium
Acmispon rigidus,Leaf mass per area,211,11,79.06615597631672,1.897990624862311,2,0.012647636497005663,1.5996270895974888e-4,3.7959812497228826,1e-4,0.5996270895974888,FALSE,10687,-1.7041898635726516,-2.208331081708242,-1.2111205412580495,0.9972105404501928,-5.19996270305882,1.7805110800925286,TRUE,2.4993064591117685e-4,1e-4,1e-4,global_log_outlier,medium
