batch_id,role,run_id,model,reasoning_effort,start_time,end_time,elapsed_seconds,status,input_tokens,output_tokens,reasoning_tokens,total_tokens,usage_source,output_file,validation_status,notes
stem_specific_density_02,reviewer_a,pilot_20260814T195648Z_a,gpt-5.6-terra,high,2026-08-14T21:56:48+02:00,2026-08-14T22:01:09+02:00,261,completed,NA,NA,NA,NA,not_exposed,Data/Temp/Trait_corrections/raw/automation/agent_reviews/stem_specific_density_02_reviewer_a_pilot_20260814T195648Z_a.csv,valid,Blind reviewer pair test completed; exact schema and one-to-one batch coverage validated; no exclude or scale selectors required.
stem_specific_density_02,reviewer_b,pilot_20260814T195648Z_b,gpt-5.6-terra,high,2026-08-14T21:56:48+02:00,2026-08-14T22:04:53+02:00,485,completed,NA,NA,NA,NA,not_exposed,Data/Temp/Trait_corrections/raw/automation/agent_reviews/stem_specific_density_02_reviewer_b_pilot_20260814T195648Z_b.csv,valid,Blind reviewer pair test completed; exact schema and one-to-one batch coverage validated; no exclude or scale selectors required.
diaspore_mass_01,reviewer_a,test_a_001,NA,NA,NA,NA,NA,reused,NA,NA,NA,NA,not_exposed,Data/Temp/Trait_corrections/raw/automation/agent_reviews/diaspore_mass_01_reviewer_a_test_a_001.csv,valid,Pre-existing immutable reviewer output reused after full validation; original runtime telemetry unavailable.
diaspore_mass_01,reviewer_b,test_b_001,NA,NA,NA,NA,NA,reused,NA,NA,NA,NA,not_exposed,Data/Temp/Trait_corrections/raw/automation/agent_reviews/diaspore_mass_01_reviewer_b_test_b_001.csv,valid,Pre-existing immutable reviewer output reused after full validation; original runtime telemetry unavailable.
stem_specific_density_01,reviewer_a,pilot_20260814T200527Z_a,gpt-5.6-terra,high,2026-08-14T22:05:27+02:00,2026-08-14T22:15:16+02:00,589,completed,NA,NA,NA,NA,not_exposed,Data/Temp/Trait_corrections/raw/automation/agent_reviews/stem_specific_density_01_reviewer_a_pilot_20260814T200527Z_a.csv,valid,Blind reviewer completed; exact schema and one-to-one batch coverage validated; no exclude or scale selectors required.
stem_specific_density_01,reviewer_b,pilot_20260814T200527Z_b,gpt-5.6-terra,high,2026-08-14T22:05:27+02:00,2026-08-14T22:15:16+02:00,589,completed_invalid,NA,NA,NA,NA,not_exposed,Data/Temp/Trait_corrections/raw/automation/agent_reviews/stem_specific_density_01_reviewer_b_pilot_20260814T200527Z_b.csv,invalid,Preserved unchanged. CSV columns were shifted: rationale text populated confidence and conflicts_or_uncertainty was blank; replacement required.
stem_specific_density_02,adjudicator,pilot_20260814T200527Z_adj,gpt-5.6-terra,high,2026-08-14T22:05:27+02:00,2026-08-14T22:15:16+02:00,589,completed,NA,NA,NA,NA,not_exposed,Data/Temp/Trait_corrections/raw/automation/agent_reviews/stem_specific_density_02_adjudicator_pilot_20260814T200527Z_adj.csv,valid,Separate adjudication validated; all 10 candidates had exact reviewer action and selector consensus.
stem_specific_density_01,reviewer_b,pilot_20260814T201532Z_b2,gpt-5.6-terra,high,2026-08-14T22:15:32+02:00,2026-08-14T22:21:40+02:00,368,completed,NA,NA,NA,NA,not_exposed,Data/Temp/Trait_corrections/raw/automation/agent_reviews/stem_specific_density_01_reviewer_b_pilot_20260814T201532Z_b2.csv,valid,Replacement blind reviewer completed; exact 17-column schema and one-to-one batch coverage validated.
diaspore_mass_01,adjudicator,pilot_20260814T201617Z_adj,gpt-5.6-terra,high,2026-08-14T22:16:17+02:00,2026-08-14T22:21:40+02:00,323,completed,NA,NA,NA,NA,not_exposed,Data/Temp/Trait_corrections/raw/automation/agent_reviews/diaspore_mass_01_adjudicator_pilot_20260814T201617Z_adj.csv,valid,Separate adjudication validated; one exact action-and-selector consensus and 18 disagreements. Non-approval disclaimer manually confirmed compliant.
stem_specific_density_01,adjudicator,pilot_20260814T202200Z_adj,gpt-5.6-terra,high,2026-08-14T22:22:00+02:00,2026-08-14T22:28:02+02:00,362,completed,NA,NA,NA,NA,not_exposed,Data/Temp/Trait_corrections/raw/automation/agent_reviews/stem_specific_density_01_adjudicator_pilot_20260814T202200Z_adj.csv,valid,Separate adjudication validated; all 25 candidates had exact action-and-selector consensus on insufficient_evidence.
