trait_domain_name,taxon_name,n_records,mean,median,sd,iqr,n_suspected_outliers
Diaspore mass,ARCTOSTAPHYLOS UVA-URSI,23,9.900304347826086,8.75,2.7814185954584496,4,1
Diaspore mass,Acacia dealbata,2074,14.445168756027002,14.4,3.2350285979253393,3.9999999999999982,154
Diaspore mass,Acalypha monococca,50,6.945285714,6.945285714,0,0,0
Diaspore mass,Agoseris glauca,25,2.82628,2.717,0.6561593124640794,0.6080000000000001,5
Diaspore mass,Allium canadense,50,0.805133333,0.805133333,0,0,0
Diaspore mass,Allium stellatum,51,2.6696732029411767,2.680866667,0.07993732244355502,0,0
Diaspore mass,Ambrosia artemisiifolia,67,0.09683731343283582,0.037,0.4866999127817508,0.011599999999999992,12
Diaspore mass,Amorpha canescens,52,1.8074615384615385,1.8036,0.0731446221304501,0,0
Diaspore mass,Andropogon gerardii,83,1.6084156626506023,0.79725,1.033537117370923,1.95275,0
Diaspore mass,Anemone virginiana,50,0.863733333,0.863733333,0,0,0
Diaspore mass,Arctostaphylos alpinus,10,3.19,3.5,0.6919376979018976,1.025,0
Diaspore mass,Aristida purpurascens,51,0.7605294117647059,0.7632,0.019071814744461492,0,0
Diaspore mass,Arnoglossum plantagineum,50,0.516875,0.516875,0,0,0
Diaspore mass,Asclepias tuberosa,53,2.2312526205471697,1.94235,1.248551081454413,0,0
Diaspore mass,Asclepias verticillata,52,2.6006153846153848,2.6034,0.05739479850933882,0,0
Diaspore mass,Asclepias viridiflora,50,0.888533333,0.888533333,0,0,0
Diaspore mass,Asclepias viridis,50,3.3768,3.3768,0,0,0
Diaspore mass,Baptisia alba,51,11.087679735294117,11.01343333,0.5302253894845262,0,0
Diaspore mass,Baptisia australis,50,14.49433333,14.49433333,0,0,0
Diaspore mass,Betula pubescens,12,0.201611111,0.20900000000000002,0.03684990953394503,0.06258333375,0
Diaspore mass,Bidens lanceolata,52,1.0801579250961537,1.085233333,0.07450370894809298,0,0
Diaspore mass,Bouteloua curtipendula,53,0.4951194968490566,0.3972,0.5429103910374647,0,0
Diaspore mass,Brickellia eupatorioides,50,0.204,0.204,0,0,0
Diaspore mass,Bromus erectus,12,3.55625,3.4450000000000003,1.2702622581756315,1.2307500000000005,3
Diaspore mass,Callirhoe digitata,50,3.705733333,3.705733333,0,0,0
Diaspore mass,Calluna vulgaris,15,0.033800000000000004,0.034,0.008299741820425156,0.004499999999999997,3
Diaspore mass,Camassia scilloides,51,5.233300653921568,5.175666667,0.4115889926519571,0,0
Diaspore mass,Carex crawei,50,0.952866667,0.952866667,0,0,0
Diaspore mass,Carex siccata,10,0.3144,0.3115,0.07389812807732908,0.09375,1
Diaspore mass,Castilleja coccinea,50,0.053,0.053,0,0,0
Diaspore mass,Chrysopsis villosa,14,0.9882857142857142,0.9849999999999999,0.20704419021865045,0.14174999999999993,3
Diaspore mass,Cistus albidus,10,1.038,1,0.10952422360170172,0.14000000000000012,1
Diaspore mass,Cistus salviifolius,16,1.00163125,0.96,0.15672347502847173,0.216175,1
Diaspore mass,Clematis fremontii,50,7.659938889,7.659938889,0,0,0
Diaspore mass,Clinopodium arkansanum,50,0.670333333,0.670333333,0,0,0
Diaspore mass,Coreopsis palmata,52,1.5085448721153847,1.489366667,0.14992237317385376,0,0
Diaspore mass,Crataegus monogyna,11,65.49,69.93,44.76034807728823,55.43499999999999,0
Diaspore mass,Croton monanthogynus,50,9.723,9.723,0,0,0
Diaspore mass,Cymopterus lemmonii,11,0.4560909090909091,0.289,0.5519408400445567,0.10049999999999998,1
Diaspore mass,Dalea candida,51,1.7606535950980393,1.766066667,0.038657065566409264,0,0
Diaspore mass,Dalea purpurea,51,0.6184313725490196,0.6002,0.13019804221292436,0,0
Diaspore mass,Daucus carota,12,0.9836666666666667,0.95,0.3657538499973429,0.1924999999999999,3
Diaspore mass,Delphinium carolinianum,50,0.615433333,0.615433333,0,0,0
Diaspore mass,Delphinium treleasei,50,1.318433333,1.318433333,0,0,0
Diaspore mass,Desmodium ciliare,50,2.4774,2.4774,0,0,0
Diaspore mass,Desmodium rigidum,51,2.4161503264705884,2.413733333,0.01726078588246124,0,0
Diaspore mass,Desmodium sessilifolium,50,2.6936,2.6936,0,0,0
Diaspore mass,Dryas octopetala,35,0.6509828571142857,0.53,0.5005603326067497,0.41291666699999996,4
