candidate_id,review_stage,taxon_name,trait_domain_name,n_records,n_trait_names,n_datasets,n_domain_outliers,n_taxon_outliers,n_invalid_values,source_references,candidate_reasons,triage_outcome,reconciliation_outcome,has_objective_scale_evidence,closure_outcome
935b153b31fdb30d0a35d56fd6223f3f218278668695a0597a05371a4d25cdce,raw,ARCTOSTAPHYLOS UVA-URSI,Leaf Area,59,3,23,0,14,0,review_submission_csv:1033,taxon_outlier;source_review,pending_submitted_note,agent_threshold_rule_not_corroborated,FALSE,approve_none_insufficient_evidence
824fa16a1b695b081a00e2b50380ed8809a985b5f7bed75e9c62111403643dba,raw,ATROPA BELLA-DONNA,Leaf Area,20,1,2,20,2,0,review_submission_csv:1816,domain_outlier;taxon_outlier;source_review,pending_submitted_note,agent_unparsed_exclusion_instruction,FALSE,approve_none_insufficient_evidence
09d40b65ad9795adc2c7da42a5918ca7d0712c99f26f773bbf19860c9af02a38,raw,Abies alba,Leaf Area,142,3,20,0,13,0,review_submission_csv:1662,taxon_outlier;source_review,pending_submitted_note,pending_submitted_note,FALSE,approve_none_insufficient_evidence
b702daa52ef4c08c53b9d3a4d6e043c98e2580826e449721d8ebb0a09376f220,raw,Abutilon incanum,Leaf Area,10,1,1,0,2,0,review_submission_csv:1608,taxon_outlier;source_review,pending_submitted_note,pending_submitted_note,FALSE,approve_none_insufficient_evidence
2c19ca6e7c78d330c2dcbd3df6eaba4c2d7e66dc6714efcdf406a2bbf6970fae,raw,Acer monspessulanum,Leaf Area,24,2,3,0,2,0,review_submission_csv:1850,taxon_outlier;source_review,pending_submitted_note,agent_threshold_rule_not_corroborated,FALSE,approve_none_insufficient_evidence
e8b8310ad454aebebed77ef9c4d75ebcab886bb0fadca3b430921bf16e329705,raw,Acer obtusatum,Leaf Area,20,1,2,20,6,0,review_submission_csv:1037,domain_outlier;taxon_outlier;source_review,pending_submitted_note,pending_submitted_note,FALSE,approve_none_insufficient_evidence
1995111244a5c0c4f184ca9ed82b3cb9a87965d2a583bfb936870a6724977d30,raw,Acer pensylvanicum,Leaf Area,15,2,14,0,2,0,review_submission_csv:1763,taxon_outlier;source_review,pending_submitted_note,pending_submitted_note,FALSE,approve_none_insufficient_evidence
71b50d206d4b7ed0e829dccf887a8ec1eeb18aa94a7dd881c8e625a11b84626e,raw,Acer saccharinum,Leaf Area,16,2,3,0,2,0,review_submission_csv:1779,taxon_outlier;source_review,pending_isolated_source_pattern,pending_isolated_source_pattern,FALSE,approve_none_insufficient_evidence
2396fd4213da68a227adb2d0d99fd62e6ba0b03b6d2769a2c048ccf8f4249eb5,raw,Acer saccharum,Leaf Area,151,5,15,39,27,0,review_submission_csv:1042,domain_outlier;taxon_outlier;source_review,pending_submitted_note,pending_submitted_note,FALSE,approve_none_insufficient_evidence
62fe5a54ea290622f43364cefb8f35672823a56848dabb08bb1d06a7d93ec1c4,raw,Achillea collina,Leaf Area,10,1,1,0,1,0,review_submission_csv:1868,taxon_outlier;source_review,pending_submitted_note,pending_submitted_note,FALSE,approve_none_insufficient_evidence
f7b67ae4ceaf650af91b9709b6ff395602b8bba69ff7a938c424711db549d385,raw,Achillea millefolium,Leaf Area,443,5,84,22,76,0,review_submission_csv:1016,domain_outlier;taxon_outlier;source_review,pending_submitted_note,agent_threshold_rule_not_corroborated,FALSE,approve_none_insufficient_evidence
b48dead9638ab72a7fa83497c081d826d526eb3991ddda45b258dbd10bcdea38,raw,Acmispon wrightii,Leaf Area,21,1,4,0,2,0,review_submission_csv:1833,taxon_outlier;source_review,pending_submitted_note,pending_submitted_note,FALSE,approve_none_insufficient_evidence
a063ac0dc798946f52fbc71dcdf23b075c54b211760418c16f9323080177f362,raw,Actaea spicata,Leaf Area,14,1,2,14,2,0,review_submission_csv:1748,domain_outlier;taxon_outlier;source_review,pending_submitted_note,agent_unparsed_exclusion_instruction,FALSE,approve_none_insufficient_evidence
6a1a8d6fac19f5a95224231e14c1f205892c6fab96815d5befd39b2843231c86,raw,Aegopodium podagraria,Leaf Area,25,3,13,22,3,0,review_submission_csv:1745,domain_outlier;taxon_outlier;source_review,pending_submitted_note,agent_unparsed_exclusion_instruction,FALSE,approve_none_insufficient_evidence
52a49482a563c392043adc5b06de575fbfee6127d04a25e0cb8f8c632a74e156,raw,Ageratina altissima,Leaf Area,27,2,3,0,2,0,review_submission_csv:1861,taxon_outlier;source_review,pending_submitted_note,pending_submitted_note,FALSE,approve_none_insufficient_evidence
652e20b39918634d9d148aac97ffee49f673773a3a2d9c7618bfe2ce5e14fac3,raw,Agropyron desertorum,Leaf Area,10,1,1,0,1,0,review_submission_csv:1869,taxon_outlier;source_review,pending_submitted_note,pending_submitted_note,FALSE,approve_none_insufficient_evidence
