data_source_id,trait_domain_name,n_records,n_taxa,n_datasets,n_trait_names,value_minimum,value_lwr_25,value_median,value_upr_75,value_maximum,n_shared_taxa,ratio_lwr_25,ratio_median,ratio_upr_75,nearest_power_of_ten_ratio,factor_relative_error,fraction_within_factor_two,fraction_within_25_percent,data_source_desc,absolute_log10_ratio,scale_cluster_strength
112,Leaf nitrogen content per unit mass,477,101,3,1,1,2.17,2.97,18.4333333333333,44.7,101,0.19199057714958773,0.9917491749174918,1.007138275937824,1,0.008250825082508184,0.504950495049505,0.44554455445544555,Sheffield Database,0.0035981521635466565,none
114,Leaf mass per area,152,62,7,2,0.024390243902439025,0.04419905656699544,0.06369685167153522,0.09265767092680927,0.14577259475218657,59,0.15233477746474738,0.5191462167689161,0.9208819204552681,1,0.48085378323108385,0.5084745762711864,0.3050847457627119,The LEDA Traitbase,0.28471030652040236,none
115,Leaf nitrogen content per unit mass,53,53,1,1,1,1.44,1.74,2.19,3.36,39,1.1653948632002544,5.5091324200913245,5.586727358518246,10,0.44908675799086756,0.5641025641025641,0.07692307692307693,Jasper Ridge Californian Woody Plants Database,0.7410832114046864,none
115,Stem specific density,54,54,1,1,0.32,0.52,0.615,0.7,0.8,38,0.9314775910364146,1.003083804143126,1.0070812807881773,1,0.0030838041431260343,1,1,Jasper Ridge Californian Woody Plants Database,0.0013372183210284638,none
121,Leaf mass per area,289,109,48,1,0.018661023470565596,0.04375908283545946,0.05762658990683887,0.08544901815791647,0.2440397972592452,107,0.10475121822717351,0.47218760342559907,0.8827442780857038,1,0.5278123965744009,0.45794392523364486,0.21495327102803738,The Netherlands Plant Traits Database,0.32588541885518996,none
121,Leaf nitrogen content per unit mass,282,105,48,1,8.42419821538625,17.14847972510015,22.110184828136248,28.578037292300472,59.1282803118388,104,0.09078263191685712,0.10003347095545831,0.1259397562090175,0.1,3.3470955458303475e-4,0.8653846153846154,0.6730769230769231,The Netherlands Plant Traits Database,0.9998546618090882,strong
121,Stem specific density,269,104,48,1,0.0759259259259231,0.207692307692305,0.285495118549512,0.424476854787571,0.777677873338546,47,0.8220345461297391,0.9706559218460821,1.1065323343959452,1,0.02934407815391793,0.9148936170212766,0.6382978723404256,The Netherlands Plant Traits Database,0.012934691539634665,none
122,Leaf nitrogen content per unit mass,1887,43,1716,1,0.1909,1.0681,1.2549,1.4738,4.4988,43,1,1.1811811811811812,1.5310566226886326,1,0.1811811811811812,0.7441860465116279,0.5116279069767442,Catalonian Mediterranean Forest Trait Database,0.07231651908014308,none
122,Stem specific density,5483,55,5009,1,0.26,0.54,0.62,0.74,1.29,47,0.8442921022401231,0.8791386406255925,0.9458788166429362,1,0.12086135937440745,0.9787234042553191,0.8723404255319149,Catalonian Mediterranean Forest Trait Database,0.055942631057319295,none
123,Leaf mass per area,36,22,5,1,0.0014275517487508922,0.005573029812105468,0.007025849630102759,0.011183982048643702,0.03717472118959108,4,1.1036892273261096,1.9380097413621624,3.8760430444497977,1,0.9380097413621624,0.5,0.5,"Global A, N, P, SLA Database",0.2873559556916303,none
123,Leaf nitrogen content per unit mass,36,22,5,1,1,2.13,2.91,3.2325,4.79,19,0.96,1,1,1,0,1,0.9473684210526315,"Global A, N, P, SLA Database",0,none
123,Stem specific density,18,4,4,1,350,650,650,650,650,3,0.0010254109019875706,0.0011088888888888889,0.0012292846668480598,0.001,0.10888888888888884,1,0.6666666666666666,"Global A, N, P, SLA Database",2.9551119681519538,investigate
125,Leaf mass per area,214,54,19,1,1.5849970289533463e-5,2.938198778145502e-5,4.7487950189716515e-5,6.483854456451112e-5,2.325710599540287e-4,49,157.11259239999976,669.009084914895,998.0542009582406,1000,0.33099091508510503,0.5510204081632653,0.3877551020408163,Ukraine Wetlands Plant Traits Database,2.8254320153786123,strong
125,Leaf nitrogen content per unit mass,214,54,19,1,0.948193571031309,2.2299587637577627,2.57227647209672,3.05934770485369,6.02629361091621,47,0.8931909254230574,0.9911640268860404,1.6013713809779524,1,0.008835973113959561,0.7659574468085106,0.5957446808510638,Ukraine Wetlands Plant Traits Database,0.0038544685452231615,none
125,Stem specific density,204,52,19,1,0.0661227994847575,0.186683657215674,0.3522843178920525,0.440368380660016,0.832945659156864,36,0.8778734202298251,1.1040590342773098,1.2586529641089785,1,0.10405903427730978,0.9444444444444444,0.5277777777777778,Ukraine Wetlands Plant Traits Database,0.04299229583468813,none
131,Leaf nitrogen content per unit mass,714,147,41,1,0.473,1.3725,1.845,2.546675,5.2792,145,1,1,1.05720373709228,1,0,0.8344827586206897,0.7724137931034483,Plant Traits for Pinus and Juniperus Forests in Arizona,0,none
131,Stem specific density,685,87,61,1,0.0679,0.2775,0.3832,0.4748,0.7581,12,1.0866259122682433,1.2215254455245061,1.4120374047870066,1,0.22152544552450615,0.9166666666666666,0.5833333333333334,Plant Traits for Pinus and Juniperus Forests in Arizona,0.08690251816641954,none
133,Leaf mass per area,141,86,49,1,0.004001292201751881,0.009302325581395349,0.01422475106685633,0.027464982147761607,0.06711409395973154,63,0.9434385165865666,1.6723863906701277,3.942088299301237,1,0.6723863906701277,0.5396825396825397,0.23809523809523808,Xylem Functional Traits (XFT) Database,0.2233366247472395,none
133,Stem specific density,389,191,117,1,0.123875,0.48101821092973,0.56192632937155,0.646346,1.09,91,0.8953532699642323,1.00546903035305,1.1298300777931358,1,0.0054690303530500195,0.945054945054945,0.7472527472527473,Xylem Functional Traits (XFT) Database,0.0023686983500536803,none
137,Leaf mass per area,923,37,12,1,0.002451900516189583,0.012280771190706195,0.018774445893089957,0.0243025336316361,0.1723298284449363,37,0.9999999999997283,3.0408874681107645,4.8665526728827535,1,2.0408874681107645,0.40540540540540543,0.2972972972972973,Plant Traits From Spanish Mediteranean shrublands,0.48300034882456405,none
137,Stem specific density,713,32,12,1,4.22505724690171e-4,0.00477610669887026,0.00579604086605982,0.00691249792773133,2.95764460772953,9,100.1544537840089,105.72820699665004,112.86687450569298,100,0.05728206996650045,1,0.7777777777777778,Plant Traits From Spanish Mediteranean shrublands,2.0241908672388966,strong
138,Leaf mass per area,1456,352,135,1,5.996390173115784e-4,0.004797318007662841,0.0072992700729927005,0.013652399457426603,0.14598540145985403,346,1.1782950663963052,4.202329057239421,7.472880417439233,10,0.5797670942760579,0.3815028901734104,0.18497109826589594,The Functional Ecology of Trees (FET) Database  - Jena,0.6234900561965577,none
142,Leaf mass per area,81,16,47,1,8.031582526475287e-6,3.5745381958792866e-5,4.869787443568945e-5,6.248240433543391e-5,1.0219027534152124e-4,12,113.6571071312806,181.9468446547817,627.5322436517889,100,0.819468446547817,0.4166666666666667,0.3333333333333333,Traits of Ukraine native and invasive plant species,2.2599445283976642,investigate
142,Leaf nitrogen content per unit mass,81,16,47,1,13.5,27.8,31.8,39.2,56.9,9,0.07641509433962264,0.08360128617363344,0.09827586206896552,0.1,0.16398713826366568,1,0.5555555555555556,Traits of Ukraine native and invasive plant species,1.0777870410560195,strong
142,Stem specific density,81,16,47,1,0.0328912466843498,0.112349665924276,0.208240534521158,0.353263019116677,0.584513692162417,4,1.2799689797480602,1.4159576612758342,1.6110071129230357,1,0.4159576612758342,1,0.25,Traits of Ukraine native and invasive plant species,0.15105026765517934,none
154,Leaf mass per area,1891,30,20,1,0.001508592999999631,0.02956715787536361,0.03741114852225963,0.056206196500315345,0.813186438000463,30,0.18287862268315042,0.25526667812228837,0.5260818103623861,0.1,1.5526667812228836,0.26666666666666666,0.1,BAAD: a biomass and allometry database for woody plants,0.5930058732181275,none
154,Leaf nitrogen content per unit mass,526,15,5,1,0.00439,0.019143,0.0239,0.027475,0.0402,15,92.85591965703071,95.07990928074247,111.79713496403195,100,0.0492009071925753,0.9333333333333333,0.8,BAAD: a biomass and allometry database for woody plants,1.9780887586799147,strong
154,Stem specific density,182,13,3,1,0.26288769100000003,0.51008631845,0.7817015945000001,0.98,1.3,9,0.9573621785397497,1.0392193173771975,1.179925656267424,1,0.03921931737719753,1,0.8888888888888888,BAAD: a biomass and allometry database for woody plants,0.016707210959840974,none
155,Leaf mass per area,5990,417,340,1,0.011904761904761904,0.0518348625167243,0.07229600112747261,0.11258885467746227,1.5517241380380498,344,0.09682326585122047,0.24660790520150463,0.8021396048517233,0.1,1.4660790520150462,0.4476744186046512,0.32848837209302323,Tundra Trait Team,0.6079930058815501,none
155,Leaf nitrogen content per unit mass,1150,195,65,1,6.26,16.2,22.384999999999998,29.345,69.3,131,0.08958686244350235,0.10187742746661567,0.13418612645714617,0.1,0.018774274666156637,0.8625954198473282,0.6564885496183206,Tundra Trait Team,0.9919220300527396,strong
155,Stem specific density,380,14,19,1,0.348837209,0.47138401175,0.5634634635,0.642824987,0.98185118,6,0.6260287973270104,0.8652009145508178,0.9461962649776468,1,0.13479908544918218,0.8333333333333334,0.6666666666666666,Tundra Trait Team,0.06288303016664507,none
157,Leaf mass per area,1097,597,60,1,0.01990208175775186,0.06056935190793458,0.09174311926605504,0.14806040864672787,0.6459948320413437,365,0.10225021756769266,0.3369433072854588,0.678483626594459,1,0.6630566927145412,0.3835616438356164,0.1506849315068493,BROT 2.0,0.4724431656103113,none
157,Leaf nitrogen content per unit mass,157,103,11,1,8.84,13.48,17.23,21.61,40.5,82,0.09410586624752826,0.1030836757341454,0.13719277972266058,0.1,0.030836757341453913,0.8536585365853658,0.6341463414634146,BROT 2.0,0.9868101038716685,strong
157,Stem specific density,290,242,6,1,0.23,0.47,0.59,0.6775,1,70,0.8315551062802562,0.9137225887213007,1.0306613195972647,1,0.08627741127869926,0.9714285714285714,0.8285714285714286,BROT 2.0,0.039185638483489556,none
158,Stem specific density,4,4,1,1,0.651096705285109,0.6651527907749185,0.7087869984728485,0.7499810492402275,0.756716663938384,2,0.8583884308883938,0.8776252608392601,0.8968620907901261,1,0.12237473916073993,1,1,Torres-Ruiz,0.05669088488045966,none
160,Leaf mass per area,810,9,65,1,0.0028798305937119,0.007956038185409612,0.012751621177584634,0.01681314757657834,0.1628781519882924,8,1.3596977698464494,3.0561743961096255,5.798306281796409,1,2.0561743961096255,0.375,0.25,Thermo-Mediterranean species along Greece,0.4851781329884231,none
160,Leaf nitrogen content per unit mass,810,9,65,1,6.3788,10.626249999999999,12.6695,15.787082552500001,30.96644559,9,0.1074828073051874,0.14064293915040182,0.5269610830772238,0.1,0.4064293915040182,0.5555555555555556,0.3333333333333333,Thermo-Mediterranean species along Greece,0.8518820663071119,strong
