data_source_id,trait_domain_name,trait_name,dataset_id,dataset_name,n_records,n_taxa,value_minimum,value_median,value_maximum
121,Leaf nitrogen content per unit mass,Leaf nitrogen (N) content per leaf dry mass,92734,try_86,4,4,16.26072,18.80938937749125,28.4013066086463
121,Leaf nitrogen content per unit mass,Leaf nitrogen (N) content per leaf dry mass,92735,try_87,5,5,12.9659039167911,15.3151549914509,21.9609156029874
121,Leaf nitrogen content per unit mass,Leaf nitrogen (N) content per leaf dry mass,92736,try_88,4,4,16.57435,25.206961569082452,31.0863805193285
121,Leaf nitrogen content per unit mass,Leaf nitrogen (N) content per leaf dry mass,92737,try_89,5,5,14.1390870635101,15.724600331892,21.070718607922
121,Leaf nitrogen content per unit mass,Leaf nitrogen (N) content per leaf dry mass,92738,try_90,3,3,13.2627497591972,14.2067181131902,24.7929195531097
121,Leaf nitrogen content per unit mass,Leaf nitrogen (N) content per leaf dry mass,92739,try_91,3,3,13.8383847885564,26.9554495364435,28.719011983085
121,Leaf nitrogen content per unit mass,Leaf nitrogen (N) content per leaf dry mass,92740,try_92,6,6,12.2893626205172,14.137620192901,21.9958716577845
121,Leaf nitrogen content per unit mass,Leaf nitrogen (N) content per leaf dry mass,92741,try_93,4,4,14.6048131260069,19.09415159913085,23.5839331427738
121,Leaf nitrogen content per unit mass,Leaf nitrogen (N) content per leaf dry mass,92742,try_94,6,6,16.0883742357982,18.28303688331325,27.0909580814673
121,Leaf nitrogen content per unit mass,Leaf nitrogen (N) content per leaf dry mass,92743,try_95,3,3,13.7874860310566,23.9950533531783,31.1806919982743
121,Leaf nitrogen content per unit mass,Leaf nitrogen (N) content per leaf dry mass,92744,try_96,3,3,11.2671355419138,15.3691649212595,39.6211368715
121,Leaf nitrogen content per unit mass,Leaf nitrogen (N) content per leaf dry mass,92745,try_97,5,5,11.6659694976016,17.1818459195155,23.7185311007198
121,Leaf nitrogen content per unit mass,Leaf nitrogen (N) content per leaf dry mass,92746,try_98,7,7,9.53684962588294,14.3185612651639,28.9456637361501
121,Leaf nitrogen content per unit mass,Leaf nitrogen (N) content per leaf dry mass,92747,try_99,10,10,12.7898392820813,17.2747491736272,29.0523876413938
121,Leaf nitrogen content per unit mass,Leaf nitrogen (N) content per leaf dry mass,92748,try_100,4,4,13.1978317795164,22.0390431714496,33.3351535854865
121,Leaf nitrogen content per unit mass,Leaf nitrogen (N) content per leaf dry mass,92749,try_101,8,8,19.0346746376217,23.84832096079125,38.7109276306773
121,Leaf nitrogen content per unit mass,Leaf nitrogen (N) content per leaf dry mass,92750,try_102,3,3,17.9387343605817,17.9932755409747,21.275533263056
121,Leaf nitrogen content per unit mass,Leaf nitrogen (N) content per leaf dry mass,92751,try_103,3,3,28.8068282270192,34.5025290370341,38.4285049496675
121,Leaf nitrogen content per unit mass,Leaf nitrogen (N) content per leaf dry mass,92752,try_104,3,3,16.0900848896488,20.3046243655957,22.1421494410058
121,Leaf nitrogen content per unit mass,Leaf nitrogen (N) content per leaf dry mass,92753,try_105,6,6,14.5396149944015,20.082564023332,29.3579710096247
121,Leaf nitrogen content per unit mass,Leaf nitrogen (N) content per leaf dry mass,92754,try_106,9,9,15.5,19.6260238491862,33.1782972061362
121,Leaf nitrogen content per unit mass,Leaf nitrogen (N) content per leaf dry mass,92755,try_107,5,5,18.8901654715177,23.6040259867086,25.6805250057842
121,Leaf nitrogen content per unit mass,Leaf nitrogen (N) content per leaf dry mass,92756,try_108,6,6,14.8314130044598,21.296876400198,39.4239091174725
121,Leaf nitrogen content per unit mass,Leaf nitrogen (N) content per leaf dry mass,92757,try_109,6,6,12.3046648031959,21.7457398731278,31.7778059319583
121,Leaf nitrogen content per unit mass,Leaf nitrogen (N) content per leaf dry mass,92758,try_110,7,7,8.42419821538625,16.3690036162918,19.3092387291887
121,Leaf nitrogen content per unit mass,Leaf nitrogen (N) content per leaf dry mass,92759,try_111,5,5,18.3249662257082,36.0933798214705,45.0873190388536
121,Leaf nitrogen content per unit mass,Leaf nitrogen (N) content per leaf dry mass,92760,try_112,7,7,21.7694836013604,23.6235015339124,37.2231760332339
121,Leaf nitrogen content per unit mass,Leaf nitrogen (N) content per leaf dry mass,92761,try_113,7,7,27.3717573250751,29.5279434836312,39.3479729900737
121,Leaf nitrogen content per unit mass,Leaf nitrogen (N) content per leaf dry mass,92762,try_114,8,8,24.222442344669,33.59940979745095,44.7172926351316
121,Leaf nitrogen content per unit mass,Leaf nitrogen (N) content per leaf dry mass,92763,try_115,30,25,11.7588462266751,24.28098177027545,54.6215921053223
121,Leaf nitrogen content per unit mass,Leaf nitrogen (N) content per leaf dry mass,92764,try_116,6,6,8.87408118993809,15.489990657889251,20.3207574863403
